name,symbol,cmcRank,circulatingSupply,totalSupply,maxSupply,dateAdded,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d
Bitcoin,BTC,1,18360075.0,18360075.0,21000000.0,2013-04-28T00:00:00.000Z,8897.46850985,47101785174.2562,163358189150.98422,-0.201403,-1.3503,15.6548
Ethereum,ETH,2,110780012.999,110780012.999,,2015-08-07T00:00:00.000Z,210.93315693,20469034664.1327,23367177866.625507,-0.216047,-2.4439,6.88196
XRP,XRP,3,44112853111.0,99990976125.0,100000000000.0,2013-08-04T00:00:00.000Z,0.21941428,2182399826.08728,9678990068.195639,-0.32802,-2.21048,11.3355
Tether,USDT,4,6361032509.0,6998318752.17,,2015-02-25T00:00:00.000Z,1.00350799,58963072938.1348,6383346956.145862,-0.0515651,-0.010418,0.018052
Bitcoin Cash,BCH,5,18397412.5,18397412.5,21000000.0,2017-07-23T00:00:00.000Z,252.54448043,3830272429.59571,4646164981.032093,-0.124233,-4.02483,2.85518
Bitcoin SV,BSV,6,18395852.0819233,18395852.0819233,21000000.0,2018-11-09T00:00:00.000Z,208.61573882,2295262059.12947,3837664273.2202806,-0.168436,-2.86076,6.43308
Litecoin,LTC,7,64650455.7265572,64650455.7265572,84000000.0,2013-04-28T00:00:00.000Z,48.26715747,4667453994.48351,3120493727.3002067,0.0189622,-2.71531,7.68658
Binance Coin,BNB,8,155536713.0,187536713.0,187536713.0,2017-07-25T00:00:00.000Z,17.12629926,381109060.886594,2663768292.9724836,0.0196522,-2.77124,4.21165
EOS,EOS,9,922323057.9921,1019023069.9917,,2017-07-01T00:00:00.000Z,2.8423157,4243384762.60448,2621533307.9354825,0.0139866,-3.90006,3.25184
Tezos,XTZ,10,709161520.52022,709161520.52022,,2017-10-06T00:00:00.000Z,2.74128839,226856166.633206,1944016243.6310868,-0.309219,-3.29995,-1.02418
Stellar,XLM,11,20324242861.9087,50001803864.8717,,2014-08-05T00:00:00.000Z,0.07310594,755013660.533354,1485822964.7792854,-0.0937709,-3.3994,16.8263
Chainlink,LINK,12,350000000.0,1000000000.0,,2017-09-20T00:00:00.000Z,3.72216936,332486848.871524,1302759277.617,-0.190264,-3.01588,0.00793028
Cardano,ADA,13,25927070538.0,31112483745.0,45000000000.0,2017-10-01T00:00:00.000Z,0.04892884,139890791.245006,1268581579.907031,-0.463131,-4.26631,6.0269
Monero,XMR,14,17546867.1337665,17546867.1337665,,2014-05-21T00:00:00.000Z,62.44111521,93103078.7536069,1095645952.25302,-0.797191,-3.43119,1.41621
TRON,TRX,15,66682072191.4,99281283754.3,,2017-09-13T00:00:00.000Z,0.01602032,1561508724.219,1068267999.3780499,-0.316665,-2.4589,11.6737
UNUS SED LEO,LEO,16,999498892.9,999498892.9,,2019-05-21T00:00:00.000Z,1.06455157,11048795.8268772,1064018112.6914402,-0.122562,-0.00504503,1.40852
Crypto.com Coin,CRO,17,16581278538.8128,100000000000.0,,2018-12-14T00:00:00.000Z,0.05993719,7968703.4457964,993835265.266748,-0.233502,-0.812505,8.01087
Huobi Token,HT,18,222668092.971921,500000000.0,,2018-02-03T00:00:00.000Z,4.19654165,138481500.759783,934435925.9264698,-0.136141,-2.13318,3.51987
MINDOL,MIN,19,170303675.5,240000000.0,,2019-03-29T00:00:00.000Z,5.06944983,1516322.41649637,863345939.5220165,0.017847,5.73192,43.1604
Ethereum Classic,ETC,20,116313299.0,116313299.0,210700000.0,2016-07-24T00:00:00.000Z,7.22643243,2920876668.71741,840530196.3153943,-0.28192,-3.43372,16.748
Dash,DASH,21,9475661.55075089,9475661.55075089,18900000.0,2014-02-14T00:00:00.000Z,81.00478339,713193611.635296,767573911.3813139,-0.286457,-2.65299,-3.74387
USD Coin,USDC,22,706331998.943527,710797096.61,,2018-10-08T00:00:00.000Z,0.99929587,538532396.686155,705834652.7658463,-0.0886052,-0.322386,-0.250761
HEX,HEX,23,150996605005.506,154535390580.744,,2019-12-17T00:00:00.000Z,0.00454762,4699676.75093985,686674935.3180499,2.23186,-7.12339,55.2078
HedgeTrade,HEDG,24,288208798.11353,1000000000.05,,2019-01-03T00:00:00.000Z,2.24345983,524679.18293648,646584860.1567938,0.314516,-1.26185,9.73062
Neo,NEO,25,70538831.0,100000000.0,100000000.0,2016-09-08T00:00:00.000Z,9.08032324,736471836.730705,640515386.6301956,-0.145846,-1.86572,5.2666
Cosmos,ATOM,26,190688439.2,237928230.821588,,2019-03-14T00:00:00.000Z,2.77714602,181742034.814132,529569640.52775395,-0.938052,-3.6907,-1.27855
IOTA,MIOTA,27,2779530283.0,2779530283.0,2779530283.0,2017-06-13T00:00:00.000Z,0.18329042,8195694.84176081,509461280.8815525,-0.495619,-4.67992,3.82128
Zcash,ZEC,28,9077475.0,9077475.0,21000000.0,2016-10-29T00:00:00.000Z,44.91646844,306312956.037383,407728119.3106326,-0.412535,-3.94357,0.142681
NEM,XEM,29,8999999999.0,8999999999.0,,2015-04-01T00:00:00.000Z,0.04195455,6208089.84275856,377590993.9383455,0.326039,-2.9114,5.18934
Maker,MKR,30,1005576.75172367,1005576.75172367,,2017-01-29T00:00:00.000Z,373.33688536,2812063.47998272,375418892.4829633,-0.381591,3.27681,8.11747
Counos X,CCXX,31,17172889.0,18402729.0,21000000.0,2020-04-20T00:00:00.000Z,20.41207603,182503.80042833,350534315.9965941,-0.0864639,-0.194647,-0.123029
INO COIN,INO,32,180003180.0,1000000000.0,,2018-08-06T00:00:00.000Z,1.93235039,434482.71225183,347829214.34702736,0.0136271,-1.49913,6.90842
OKB,OKB,33,60000000.0,300000000.0,,2019-04-30T00:00:00.000Z,5.35408839,82012655.1475959,321245303.217,-0.113969,-4.1327,8.9809
Ontology,ONT,34,656746573.0,1000000000.0,,2018-03-08T00:00:00.000Z,0.48881097,108817841.22986,321024930.2217767,-0.35507,-3.97528,-0.541643
Dogecoin,DOGE,35,124412761703.333,124412761703.333,,2013-12-15T00:00:00.000Z,0.00251033,265156925.148762,312317539.7871653,-0.549571,-1.69263,5.41522
FTX Token,FTT,36,95268782.0940323,346141118.16126,,2019-07-31T00:00:00.000Z,3.15463769,2058820.17538368,300538490.5608616,-0.107292,-1.89417,10.4651
Basic Attention Token,BAT,37,1457527137.0863,1500000000.0,,2017-06-01T00:00:00.000Z,0.18395364,89715693.1168179,268117420.7485181,-0.378643,-4.34287,-0.400488
DigiByte,DGB,38,13099540571.1027,13099540571.1027,21000000000.0,2014-02-06T00:00:00.000Z,0.0190765,25874509.6159714,249893385.71774015,0.731218,0.769139,33.9607
Paxos Standard,PAX,39,244951954.494264,249952064.83,,2018-09-27T00:00:00.000Z,1.00136154,405661142.336314,245285467.35574445,-0.0388235,-0.0121965,-0.0492467
VeChain,VET,40,55454734800.0,86712634466.0,,2017-08-22T00:00:00.000Z,0.00433113,178199245.622191,240181503.60206202,-0.2689,-4.29508,-3.27867
Elamachain,ELAMA,41,565933389.0,10000000000.0,10000000000.0,2019-02-07T00:00:00.000Z,0.37644719,9935974.13648046,213044033.9466171,-0.400946,-1.22953,4.51055
PlayFuel,PLF,42,500000000.0,10000000000.0,10000000000.0,2019-12-30T00:00:00.000Z,0.3935194,9333721.36170904,196759699.52299997,-0.26443,-1.31825,3.36088
MimbleWimbleCoin,MWC,43,8018627.8569404,10528270.8569404,20000000.0,2020-02-24T00:00:00.000Z,24.13011984,150550645.490561,193490451.13953236,-1.26361,-3.1742,24.1069
Binance USD,BUSD,44,180765483.1,180765483.1,,2019-09-20T00:00:00.000Z,1.00022628,105447159.137283,180806386.00129986,-0.071433,-0.0153825,-0.109418
Bitcoin Gold,BTG,45,17513923.589,17513923.589,21000000.0,2017-10-23T00:00:00.000Z,9.93020139,46083579.058446,173916788.3053169,-0.380383,-3.3662,3.1894
Decred,DCR,46,11441702.7222251,11441702.7222251,21000000.0,2016-02-10T00:00:00.000Z,14.59017745,112515280.716532,166936473.09432325,0.0723562,0.3907,12.2202
Hedera Hashgraph,HBAR,47,4077684788.0,50000000000.0,,2019-09-17T00:00:00.000Z,0.03933713,17983790.6384893,160404421.36976087,-0.412008,-8.18507,14.5434
Qtum,QTUM,48,96607300.359,102357300.0,107822406.0,2017-05-24T00:00:00.000Z,1.58892924,423313619.245707,153502164.34657225,-0.270419,-3.71036,3.72925
Lisk,LSK,49,123412724.145642,139467336.0,,2016-04-06T00:00:00.000Z,1.2297267,5937538.54652433,151763921.8584719,-0.121636,-3.50446,16.3498
HUSD,HUSD,50,148204508.24,148204508.24,,2019-10-15T00:00:00.000Z,1.00141988,29820926.4103699,148414940.88383663,-0.0673026,-0.0128988,-0.0817083
Algorand,ALGO,51,714507743.808983,3245779586.80898,,2019-06-20T00:00:00.000Z,0.20729063,78042151.634305,148110762.39682034,-0.853585,-5.50164,-7.40252
ICON,ICX,52,540535837.245177,800460000.0,,2017-10-27T00:00:00.000Z,0.27360158,25701418.319174,147891458.89636466,-0.566273,-5.31341,-7.54031
Synthetix Network Token,SNX,53,181454897.973105,182701142.321275,,2018-03-14T00:00:00.000Z,0.77482484,1995304.26571531,140595762.4316695,-1.28681,-5.43852,12.0835
0x,ZRX,54,652985066.903398,1000000000.0,,2017-08-16T00:00:00.000Z,0.2067877,25152529.2136877,135029282.87685573,-0.47082,-3.91311,3.16805
TrueUSD,TUSD,55,133637570.0,133637570.0,,2018-03-06T00:00:00.000Z,1.00134667,775291965.735125,133817536.22490568,-0.0975727,-0.026744,-0.051195
Ravencoin,RVN,56,6078960000.0,6078960000.0,21000000000.0,2018-03-10T00:00:00.000Z,0.02068843,22289761.155291,125764123.74664053,-0.254925,-3.47519,3.48935
THETA,THETA,57,870502690.0,1000000000.0,,2018-01-17T00:00:00.000Z,0.14370722,9340473.97928052,125097519.79876179,1.50458,3.14102,27.1458
Augur,REP,58,11000000.0,11000000.0,,2015-10-27T00:00:00.000Z,10.89297377,35230618.1266981,119822711.4777,0.0580477,-3.28634,4.16881
Hyperion,HYN,59,316765917.406,10000000000.0,,2019-01-14T00:00:00.000Z,0.37772413,11424743.4732287,119650128.99118984,0.0583228,4.35583,127.949
Kyber Network,KNC,60,180047658.780648,210880500.499512,,2017-09-24T00:00:00.000Z,0.65539346,34504284.3248631,118002057.32467544,0.114017,-3.96686,-5.91635
Hive,HIVE,61,285051123.369,368421329.241,,2020-03-26T00:00:00.000Z,0.41083992,42625203.0666236,117110380.41268983,-0.600092,20.9488,-53.9907
Metaverse Dualchain Network Architecture,DNA,62,11481839398.0,100000000000.0,,2020-02-15T00:00:00.000Z,0.01001337,11225567.7877811,114971912.06523125,0.106777,1.04034,96.3384
ZB Token,ZB,63,463288810.0,2100000000.0,,2018-09-27T00:00:00.000Z,0.2455102,44983167.326494,113742129.29732585,-0.102387,-2.28927,-0.367498
Enjin Coin,ENJ,64,819772129.064264,1000000000.0,,2017-11-01T00:00:00.000Z,0.13558219,8725662.81896044,111146503.87875292,-1.09173,-5.50496,-5.16927
Multi-collateral DAI,DAI,65,110835435.131761,111120570.343906,,2019-11-22T00:00:00.000Z,0.99330055,15160971.8156634,110092898.5782215,-0.256459,-1.51758,-1.53237
Bitcoin Diamond,BCD,66,186492897.953,189492897.953,210000000.0,2017-11-24T00:00:00.000Z,0.58478882,9168358.64290372,109058962.3831755,-0.402165,-1.62231,7.77097
Waves,WAVES,67,101834848.0,101834848.0,,2016-06-02T00:00:00.000Z,1.06382804,41015410.1720691,108334766.48982236,0.536725,-2.41392,1.93058
OmiseGO,OMG,68,140245398.245133,140245398.245133,,2017-07-14T00:00:00.000Z,0.72961468,158964236.888377,102325101.53207271,-0.607785,-3.51755,9.54678
Cryptonex,CNX,69,55686328.9619251,107135053.921925,210000000.0,2017-10-07T00:00:00.000Z,1.80866863,1739812.50110142,100718116.45752199,-0.298653,-2.74259,3.97432
Bitball Treasure,BTRS,70,450000.0,1000000.0,1000000.0,2019-11-04T00:00:00.000Z,208.80608456,57963.77515219,93962738.0529,-0.204023,-2.43302,7.29833
MonaCoin,MONA,71,65729674.8711679,65729674.8711679,,2014-03-20T00:00:00.000Z,1.39669013,5861555.32917567,91803988.19982593,0.0822368,-2.34675,15.3397
DxChain Token,DX,72,49999999999.6862,100000000000.0,,2018-08-10T00:00:00.000Z,0.00181156,330368.60752629,90578104.96443154,0.530346,-0.26991,12.3215
Energi,NRG,73,28552664.6219773,28552664.6219773,,2018-08-23T00:00:00.000Z,3.12794672,1273391.18446711,89311213.79205304,-0.17275,-11.6373,-3.61234
GlitzKoin,GTN,74,247499427.9096,998999327.9096,,2019-05-07T00:00:00.000Z,0.35961411,1544899.19392084,89004285.93312874,-0.0920461,-0.778007,-2.60103
Siacoin,SC,75,41817047634.0,41817047634.0,,2015-08-26T00:00:00.000Z,0.00207667,2043260.87976559,86840250.74980225,-0.423528,-5.60269,17.1987
Nano,NANO,76,133248297.197,133248297.197,133248297.0,2017-03-06T00:00:00.000Z,0.64688429,4674203.2739907,86196230.42153506,-0.453428,-0.148807,7.77003
MCO,MCO,77,15793831.0949625,31587682.3632061,,2017-07-03T00:00:00.000Z,5.34510722,26411520.8591826,84419720.6296217,-0.257826,-1.40841,4.50634
Mixin,XIN,78,511311.399700006,1000000.0,1000000.0,2018-01-09T00:00:00.000Z,164.80312166,4191205.67032159,84265714.81295022,0.614213,-3.27856,-1.61308
Holo,HOT,79,164091905583.237,177619433541.141,,2018-04-29T00:00:00.000Z,0.00050827,32826487.327551,83403748.226055,-2.85203,17.5162,43.7057
DigixDAO,DGD,80,2000000.0,2000000.0,,2016-04-18T00:00:00.000Z,40.57494609,7965985.43502046,81149892.1744,-0.042083,-1.9541,7.55357
botXcoin,BOTX,81,1632102305.0,5000000000.0,,2019-04-18T00:00:00.000Z,0.04957561,652282.51964737,80912474.77068603,-0.198889,-2.07372,8.49071
Bloomzed Token,BZT,82,19999999.9999999,100000000.0,,2020-03-09T00:00:00.000Z,3.92719822,271844.73977256,78543964.3947996,-0.199345,8.41426,398.014
KuCoin Shares,KCS,83,81250284.0,171250284.0,,2017-10-24T00:00:00.000Z,0.94374236,6490247.27826133,76679334.89714317,-0.402584,-0.521438,-1.78132
Nervos Network,CKB,84,17127393352.6674,27271756670.1063,,2019-11-19T00:00:00.000Z,0.00436492,10412459.990469,74759713.4760338,-0.533818,-7.6919,-12.9951
Homeros,HMR,85,164488955.0,10000000000.0,10000000000.0,2020-03-18T00:00:00.000Z,0.44665762,3309336.0298558,73470245.06677613,-0.52212,1.0402,17.3782
Counos Coin,CCA,86,14848323.5467,16986059.7247,21000000.0,2019-12-10T00:00:00.000Z,4.82496218,122277.89715391,71642599.57343374,-0.0965321,-0.340895,-0.264487
Status,SNT,87,3470483788.0,6804870174.0,,2017-06-28T00:00:00.000Z,0.02044125,14088575.0024984,70941012.6864071,-1.2807,-5.06026,7.33969
Bytom,BTM,88,1002499275.0,1407000000.0,,2017-08-08T00:00:00.000Z,0.07000444,10902523.5743878,70179404.9109597,-0.398562,-2.80009,-1.79914
Steem,STEEM,89,368697693.274,385671787.274,,2016-04-18T00:00:00.000Z,0.18877281,7066910.33249554,69600100.78558286,-1.46518,1.27249,1.42136
BitcoinHD,BHD,90,6083016.35,6339465.0,21000000.0,2019-05-27T00:00:00.000Z,11.04943295,32783847.043874,67213881.29551193,0.231275,-5.93168,62.5133
Komodo,KMD,91,119612681.09678,119612681.09678,200000000.0,2017-02-05T00:00:00.000Z,0.54585742,5269050.3518654,65291469.12898147,0.435911,1.592,-3.82841
CRYPTOBUCKS,CBUCKS,92,3890089947.31,8534139361.3,10000000000.0,2020-01-06T00:00:00.000Z,0.01676235,547905.75279522,65207044.52400599,-1.7037,0.892479,-0.79674
QCash,QC,93,460000200.0,10000000000.0,10000000000.0,2019-12-12T00:00:00.000Z,0.13953015,703530581.891254,64183898.03395049,-0.096739,-0.578079,-0.562195
BitTorrent,BTT,94,212116500000.0,990000000000.0,,2019-01-31T00:00:00.000Z,0.00029834,82649380.2313557,63282150.42733431,-0.807001,2.08556,19.8707
Tap,XTP,95,518802335.0,10000000000.0,,2019-12-24T00:00:00.000Z,0.12111577,259258.28823716,62835141.97887819,-0.130569,-1.09104,8.54095
Nexo,NEXO,96,560000011.0,1000000000.0,,2018-05-01T00:00:00.000Z,0.10954579,10214333.9975705,61345643.83068369,-1.02811,0.379193,5.51153
Zilliqa,ZIL,97,10100023720.1279,13391490873.1279,21000000000.0,2018-01-25T00:00:00.000Z,0.00606542,11124175.0472218,61260853.6553815,0.434496,-2.5006,18.2826
