Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
1,Bitcoin,BTC,658.66357422,129511632.0,10360448690.673828,15729500.0,15729500.0,21000000.0,-0.714765,-6.09766,3.81395,2013-04-28T00:00:00.000Z,2024-09-23
2,Ethereum,ETH,11.7202177,10588737.0,956817431.598227,81638196.124,81638196.124,,-1.01723,-3.20847,-15.3783,2015-08-07T00:00:00.000Z,2024-09-23
3,XRP,XRP,0.00660746,536310.8125,233547238.82466596,35345971933.0,99997322412.0,100000000000.0,-0.227631,-1.53238,3.2521,2013-08-04T00:00:00.000Z,2024-09-23
4,Litecoin,LTC,4.25329447,7659710.5,197792991.02009827,46503479.2468872,46503479.2468872,84000000.0,-0.943791,-7.70222,4.14865,2013-04-28T00:00:00.000Z,2024-09-23
5,The DAO,DAO,0.09007826,1069507.625,103935618.01332527,1153836913.0,1153836913.0,,-0.866601,-3.48765,-17.7386,2016-05-16T00:00:00.000Z,2024-09-23
6,NEM,XEM,0.01076844,1352364.375,96915964.95773377,8999999999.0,8999999999.0,,-0.887264,1.37195,59.232,2015-04-01T00:00:00.000Z,2024-09-23
7,Dash,DASH,7.01169825,259776.4375,46014335.65852951,6562509.40130875,6562509.40130875,18900000.0,-0.511915,-2.14733,2.56664,2014-02-14T00:00:00.000Z,2024-09-23
8,MaidSafeCoin,MAID,0.07110384,178903.921875,32178214.7770461,452552412.0,452552412.0,,-1.18695,-0.741488,-5.44642,2014-04-28T00:00:00.000Z,2024-09-23
9,Lisk,LSK,0.30140632,407207.9375,30140632.390976,100000000.0,100000000.0,,-1.00601,-2.70215,-8.04691,2016-04-06T00:00:00.000Z,2024-09-23
10,Dogecoin,DOGE,0.00028222,472626.75,29637430.98146216,105016389699.305,105016389699.305,,-0.626128,-7.34298,-0.422359,2013-12-15T00:00:00.000Z,2024-09-23
11,Nxt,NXT,0.02133974,450192.875,21318402.70300085,998999999.0,998999999.0,1000000000.0,-0.0847482,-9.0958,20.7654,2013-12-04T00:00:00.000Z,2024-09-23
12,Monero,XMR,1.7029829,326072.4375,20965183.26247629,12310859.510902,12310859.510902,,-0.294428,-2.81062,15.7646,2014-05-21T00:00:00.000Z,2024-09-23
13,DigixDAO,DGD,10.05803204,39056.640625,20116064.0716552,2000000.0,2000000.0,,-0.103024,-0.915606,-9.13447,2016-04-18T00:00:00.000Z,2024-09-23
14,Waves,WAVES,0.19279256,334446.75,19279256.4630508,100000000.0,100000000.0,,-0.277845,4.80472,13.9377,2016-06-02T00:00:00.000Z,2024-09-23
