Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date
17,NEAR Protocol,NEAR,$5.17,1.73%,13.25%,32.87%,,,"1,132,512,364 NEAR",1211940465.0,,0,,,,,,71.0,19.0,2024-09-23
22,Internet Computer,ICP,$8.66,0.69%,3.70%,8.80%,,,"471,226,357 ICP",523460154.8931735,,0,,,,,,,18.0,2024-09-23
24,Artificial Superintelligence Alliance,FET,$1.62,0.01%,1.67%,28.22%,,,"2,520,000,000 FET",2719493896.672,2630547141.0,0,,,,,,,,2024-09-23
27,Bittensor,TAO,$526.48,0.25%,5.25%,82.96%,,,"7,380,936 TAO",7380936.0,21000000.0,0,,,,,,,38.0,2024-09-23
30,Render,RENDER,$6.02,0.71%,3.21%,27.62%,,,"517,460,631 RENDER",532450804.7354916,,0,,,,,,,30.0,2024-09-23
41,Injective,INJ,$22.15,0.23%,2.15%,23.78%,,,"97,697,857 INJ",100000000.0,,0,,,,,,,44.0,2024-09-23
50,The Graph,GRT,$0.1711,0.13%,3.81%,23.93%,,,"9,548,531,509 GRT",10799706720.1636,,0,,,,,,63.0,43.0,2024-09-23
56,Theta Network,THETA,$1.37,0.23%,2.29%,6.02%,,,"1,000,000,000 THETA",1000000000.0,1000000000.0,0,,,,,,,47.0,2024-09-23
92,Akash Network,AKT,$2.80,0.37%,4.22%,17.43%,,,"248,285,795 AKT",248285800.802151,388539008.0,0,,,,,,386.0,92.0,2024-09-23
109,AIOZ Network,AIOZ,$0.4732,0.86%,1.65%,29.71%,,,"1,124,074,579 AIOZ",1124310397.3809855,,0,,,,,,,99.0,2024-09-23
113,Oasis,ROSE,$0.07196,0.48%,0.39%,22.37%,,,"7,064,132,681 ROSE",10000000000.0,,0,,,,,,,4369.0,2024-09-23
115,DeXe,DEXE,$8.76,0.01%,0.00%,18.81%,,,"57,103,248 DEXE",96504599.33609451,98942301.0,0,,,,,,643.0,135.0,2024-09-23
149,Echelon Prime,PRIME,$10.06,3.06%,20.74%,29.57%,,,"35,773,841 PRIME",111111111.1,111111112.0,0,,,,,,,110.0,2024-09-23
159,Golem,GLM,$0.3182,0.47%,0.62%,18.68%,,,"1,000,000,000 GLM",1000000000.0,,0,,,,16.0,124.0,134.0,169.0,2024-09-23
161,Arkham,ARKM,$1.41,0.48%,13.62%,41.30%,,,"225,100,000 ARKM",1000000000.0,1000000000.0,0,,,,,,,162.0,2024-09-23
187,io.net,IO,$2.10,0.15%,3.33%,19.94%,,,"120,286,834 IO",800000000.0,800000000.0,0,,,,,,,,2024-09-23
192,OriginTrail,TRAC,$0.5778,0.49%,4.65%,12.20%,,,"412,463,783 TRAC",500000000.0,,0,,,,,746.0,165.0,171.0,2024-09-23
199,Flux,FLUX,$0.6314,0.42%,1.68%,11.87%,,,"353,456,906 FLUX",440000000.0,,0,,,,,,,196.0,2024-09-23
210,Turbo,TURBO,$0.006098,0.92%,5.93%,32.17%,,,"64,490,000,000 TURBO",69000000000.0,69000000000.0,0,,,,,,,688.0,2024-09-23
223,Aethir,ATH,$0.06215,1.47%,7.87%,16.44%,,,"4,056,713,543 ATH",42000000000.0,42000000000.0,0,,,,,,,,2024-09-23
225,PAAL AI,PAAL,$0.279,0.84%,5.74%,72.14%,,,"819,528,083 PAAL",1000000000.0,1000000000.0,0,,,,,,,226.0,2024-09-23
229,Qubic,QUBIC,$0.051914,0.12%,5.31%,11.60%,,,"112,546,976,413,437 QUBIC",114480560672078.0,200000000000000.0,0,,,,,,,2760.0,2024-09-23
235,Destra Network,DSYNC,$0.2091,0.65%,18.64%,32.17%,,,"967,512,688 DSYNC",1000000000.0,1000000000.0,0,,,,,,,2777.0,2024-09-23
245,Kadena,KDA,$0.6345,0.73%,0.89%,26.37%,,,"289,811,805 KDA",1000000000.0,1000000000.0,0,,,,,,627.0,245.0,2024-09-23
251,Arcblock,ABT,$1.82,1.30%,2.54%,16.73%,,,"98,554,305 ABT",186000000.0,,0,,,,,273.0,629.0,257.0,2024-09-23
254,0x0.ai,0x0,$0.2016,0.18%,9.18%,61.72%,,,"868,563,455 0x0",1000000000.0,1000000000.0,0,,,,,,,253.0,2024-09-23
266,Zignaly,ZIG,$0.1146,0.23%,9.43%,17.66%,,,"1,433,308,739 ZIG",2000000000.0,,0,,,,,,,371.0,2024-09-23
276,Delysium,AGI,$0.162,0.58%,21.25%,39.97%,,,"933,776,370 AGI",3000000000.0,,0,,,,,,,262.0,2024-09-23
278,Casper,CSPR,$0.01205,0.82%,5.60%,9.17%,,,"12,322,453,215 CSPR",12929330358.0,,0,,,,,,,177.0,2024-09-23
288,Ozone Chain,OZO,$0.2386,0.20%,0.29%,0.57%,,,"573,491,638 OZO",1000000000.0,1000000000.0,0,,,,,,,440.0,2024-09-23
291,RSS3,RSS3,$0.1355,0.92%,5.26%,22.76%,,,"987,525,011 RSS3",1000000000.0,1000000000.0,0,,,,,,,268.0,2024-09-23
305,IQ,IQ,$0.006527,2.12%,16.97%,37.57%,,,"18,912,501,356 IQ",18912501355.929,21000000000.0,0,,,,,,,316.0,2024-09-23
306,NetMind Token,NMT,$3.68,1.66%,27.68%,100.63%,,,"33,450,208 NMT",147571073.2,147571163.0,0,,,,,,,2477.0,2024-09-23
315,iExec RLC,RLC,$1.64,0.46%,0.82%,16.48%,,,"72,382,548 RLC",86999784.9868455,86999785.0,0,,,,,167.0,129.0,273.0,2024-09-23
323,Numeraire,NMR,$15.59,0.44%,1.46%,16.53%,,,"7,339,116 NMR",10714570.65757843,11000000.0,0,,,,,113.0,114.0,320.0,2024-09-23
328,Marlin,POND,$0.01369,0.16%,0.92%,14.46%,,,"8,087,375,977 POND",10000000000.0,,0,,,,,,556.0,290.0,2024-09-23
336,Sleepless AI,AI,$0.4944,0.56%,11.22%,36.05%,,,"217,500,000 AI",1000000000.0,1000000000.0,0,,,,,,,342.0,2024-09-23
347,inSure DeFi,SURE,$0.003843,0.00%,4.39%,1.63%,,,"26,790,063,175 SURE",88000000000.0,88000000000.0,0,,,,,,,349.0,2024-09-23
359,Nosana,NOS,$2.03,0.02%,0.82%,9.86%,,,"48,197,665 NOS",100000000.0,,0,,,,,,,2562.0,2024-09-23
376,Phala Network,PHA,$0.1222,0.15%,1.97%,19.72%,,,"752,013,346 PHA",1000000000.0,,0,,,,,,,338.0,2024-09-23
380,dKargo,DKA,$0.02112,0.82%,0.46%,8.85%,,,"4,279,583,333 DKA",5000000000.0,5000000000.0,0,,,,,,565.0,385.0,2024-09-23
392,Solidus Ai Tech,AITECH,$0.08551,0.58%,10.22%,4.86%,,,"1,020,059,849 AITECH",1992002130.0,2000000000.0,0,,,,,,,370.0,2024-09-23
394,Oraichain,ORAI,$6.28,0.08%,3.60%,19.67%,,,"13,823,700 ORAI",18014986.26,19779272.0,0,,,,,,,350.0,2024-09-23
400,Hooked Protocol,HOOK,$0.4587,0.52%,2.13%,18.16%,,,"186,660,920 HOOK",500000000.0,,0,,,,,,,357.0,2024-09-23
405,ChainGPT,CGPT,$0.1478,1.01%,17.79%,21.91%,,,"558,845,349 CGPT",998210432.0,1000000000.0,0,,,,,,,381.0,2024-09-23
411,CUDOS,CUDOS,$0.01182,0.07%,1.79%,43.48%,,,"6,841,280,975 CUDOS",10000000000.0,10000000000.0,0,,,,,,,432.0,2024-09-23
433,Phoenix,PHB,$1.44,0.08%,6.55%,23.55%,,,"51,629,341 PHB",51641767.0,64000000.0,0,,,,,,,447.0,2024-09-23
435,Node AI,GPU,$0.7748,0.03%,7.83%,21.38%,,,"95,069,916 GPU",100000000.0,100000000.0,0,,,,,,,337.0,2024-09-23
445,Artificial Liquid Intelligence,ALI,$0.01151,0.49%,10.06%,26.18%,,,"6,179,259,839 ALI",9870903732.81426,,0,,,,,,,496.0,2024-09-23
449,NFPrompt,NFP,$0.2387,0.37%,2.44%,22.42%,,,"292,859,589 NFP",1000000000.0,1000000000.0,0,,,,,,,393.0,2024-09-23
457,HashAI,HASHAI,$0.0007984,1.70%,15.28%,66.37%,,,"84,564,818,695 HASHAI",89719785186.0,100000000000.0,0,,,,,,,2928.0,2024-09-23
502,TokenFi,TOKEN,$0.05809,0.53%,0.16%,23.48%,,,"1,000,019,789 TOKEN",10000000000.0,10000000000.0,0,,,,,,,390.0,2024-09-23
521,LimeWire,LMWR,$0.181,1.15%,0.50%,10.54%,,,"295,982,476 LMWR",633045269.0,,0,,,,,,,492.0,2024-09-23
522,PlatON,LAT,$0.008902,1.01%,2.71%,1.51%,,,"6,000,280,961 LAT",10250000000.0,,0,,,,,,,586.0,2024-09-23
524,PaLM AI,PALM,$0.679,1.52%,16.61%,66.10%,,,"77,300,000 PALM",77300000.0,,0,,,,,,,575.0,2024-09-23
526,Forta,FORT,$0.1222,0.31%,0.68%,5.03%,,,"425,900,172 FORT",1000000000.0,1000000000.0,0,,,,,,,433.0,2024-09-23
544,Agoras: Currency of Tau,AGRS,$1.62,0.28%,4.82%,46.35%,,,"29,892,947 AGRS",42000000.0,,0,,,,,,,519.0,2024-09-23
554,Dimitra,DMTR,$0.09746,0.71%,10.60%,9.80%,,,"486,503,182 DMTR",527018673.0,,0,,,,,,,483.0,2024-09-23
555,Virtuals Protocol,VIRTUAL,$0.04713,0.23%,15.78%,68.96%,,,"1,000,000,000 VIRTUAL",1000000000.0,1000000000.0,0,,,,,,,,2024-09-23
559,Streamr,DATA,$0.04345,0.90%,0.67%,30.11%,,,"1,063,403,853 DATA",1125323352.0,,0,,,,,,321.0,548.0,2024-09-23
566,Aleph.im,ALEPH,$0.1823,0.23%,0.98%,27.02%,,,"247,220,482 ALEPH",500000000.0,,0,,,,,,568.0,583.0,2024-09-23
569,Humans.ai,HEART,$0.007961,0.05%,1.69%,1.13%,,,"5,590,033,742 HEART",6254775694.0,7800000000.0,0,,,,,,,2836.0,2024-09-23
590,DIA,DIA,$0.3788,0.13%,0.95%,20.07%,,,"110,617,604 DIA",168817248.0,200000000.0,0,,,,,,198.0,587.0,2024-09-23
619,Cortex,CTXC,$0.1669,0.71%,0.73%,7.49%,,,"223,983,303 CTXC",299792458.0,299792458.0,0,,,,,177.0,194.0,511.0,2024-09-23
623,DecideAI,DCD,$0.07525,1.12%,4.30%,4.54%,,,"488,677,471 DCD",981473305.19,1000000000.0,0,,,,,,,,2024-09-23
630,Verasity,VRA,$0.003589,0.71%,10.73%,23.21%,,,"9,930,514,635 VRA",98930514635.0,100249906818.0,0,,,,,495.0,899.0,557.0,2024-09-23
631,SIDUS,SIDUS,$0.003773,0.23%,1.38%,37.91%,,,"9,356,868,845 SIDUS",21352793618.35517,,0,,,,,,,481.0,2024-09-23
633,VIDT DAO,VIDT,$0.04188,2.57%,0.27%,2.18%,,,"837,071,066 VIDT",1000000000.0,1000000000.0,0,,,,,,,770.0,2024-09-23
638,AIT Protocol,AIT,$0.1414,0.78%,48.35%,121.41%,,,"241,664,663 AIT",297604780.362663,,0,,,,,,,654.0,2024-09-23
640,Victoria VR,VR,$0.006377,0.48%,3.56%,3.38%,,,"5,336,247,368 VR",16800000000.0,16800000000.0,0,,,,,,,405.0,2024-09-23
654,LinqAI,LNQ,$0.1727,0.75%,9.85%,25.53%,,,"191,434,059 LNQ",977205163.3818364,,0,,,,,,,3089.0,2024-09-23
664,Measurable Data Token,MDT,$0.04682,0.07%,0.01%,23.04%,,,"676,157,013 MDT",1000000000.0,,0,,,,,462.0,509.0,591.0,2024-09-23
666,Sentinel Protocol,UPP,$0.06354,5.04%,18.42%,13.12%,,,"497,834,800 UPP",500000000.00000006,,0,,,,,370.0,562.0,639.0,2024-09-23
670,Numbers Protocol,NUM,$0.04636,0.23%,9.96%,20.13%,,,"676,474,220 NUM",686537204.0,1000000000.0,0,,,,,,,568.0,2024-09-23
675,Commune AI,COMAI,$0.3056,9.30%,85.35%,104.83%,,,"100,735,860 COMAI",1000000000.0,1000000000.0,0,,,,,,,3505.0,2024-09-23
677,SelfKey,KEY,$0.005109,0.23%,0.85%,11.15%,,,"5,999,999,954 KEY",5999999954.464072,6000000000.0,0,,,,,,,682.0,2024-09-23
678,Graphlinq Chain,GLQ,$0.08795,1.68%,9.29%,69.25%,,,"339,999,895 GLQ",650000000.0,,0,,,,,,,717.0,2024-09-23
682,Zero1 Labs,DEAI,$0.3211,3.87%,1.13%,112.77%,,,"91,221,244 DEAI",1000000000.0,1000000000.0,0,,,,,,,614.0,2024-09-23
706,VAIOT,VAI,$0.08106,0.34%,7.03%,8.67%,,,"344,751,032 VAI",400000000.0,400000000.0,0,,,,,,,516.0,2024-09-23
721,PARSIQ,PRQ,$0.09967,0.32%,2.22%,2.19%,,,"260,256,872 PRQ",310256872.0,500000000.0,0,,,,,,272.0,694.0,2024-09-23
741,Hacken Token,HAI,$0.03672,0.39%,2.59%,19.21%,,,"644,984,745 HAI",969984745.0,1000000000.0,0,,,,,,1294.0,680.0,2024-09-23
746,SingularityDAO,SDAO,$0.2817,0.95%,2.18%,2.83%,,,"82,733,204 SDAO",100000000.0,100000000.0,0,,,,,,,592.0,2024-09-23
761,GT Protocol,GTAI,$0.622,2.39%,18.26%,45.22%,,,"36,047,815 GTAI",75000000.0,,0,,,,,,,926.0,2024-09-23
779,SPECTRE AI,SPECTRE,$2.33,0.99%,18.28%,85.27%,,,"9,093,998 SPECTRE",10000000.0,10000000.0,0,,,,,,,956.0,2024-09-23
794,Cere Network,CERE,$0.002788,0.17%,1.24%,10.28%,,,"6,939,923,952 CERE",10000000000.0,,0,,,,,,,659.0,2024-09-23
799,OORT,OORT,$0.09032,0.88%,6.10%,6.46%,,,"212,359,971 OORT",2000000000.0,,0,,,,,,,774.0,2024-09-23
821,zKML,ZKML,$0.1951,0.28%,11.38%,29.35%,,,"93,371,600 ZKML",100000000.0,100000000.0,0,,,,,,,886.0,2024-09-23
830,Botto,BOTTO,$0.3706,0.95%,18.71%,20.92%,,,"47,712,015 BOTTO",100000000.0,100000000.0,0,,,,,,,660.0,2024-09-23
833,Vectorspace AI,VXV,$0.3547,0.90%,3.47%,15.64%,,,"49,517,054 VXV",50000000.0,,0,,,,,2184.0,2941.0,671.0,2024-09-23
858,NuNet,NTX,$0.03215,0.43%,1.03%,9.71%,,,"504,084,665 NTX",1037999500.0,1000000000.0,0,,,,,,,783.0,2024-09-23
875,Only1,LIKE,$0.04608,1.41%,10.35%,17.64%,,,"331,159,918 LIKE",500000000.0,,0,,,,,,,673.0,2024-09-23
883,Volt Inu,VOLT,$0.062711,0.59%,0.89%,13.66%,,,"54,766,287,142,827 VOLT",69000000000000.0,69000000000000.0,0,,,,,,,812.0,2024-09-23
887,QnA3.AI,GPT,$0.09653,0.89%,1.57%,20.61%,,,"153,749,940 GPT",1000000000.0,1000000000.0,0,,,,,,,2536.0,2024-09-23
895,Lumerin,LMR,$0.02388,0.66%,8.98%,44.09%,,,"606,615,000 LMR",1000000000.0,,0,,,,,,,713.0,2024-09-23
901,Gaimin,GMRX,$0.0009085,0.19%,0.44%,2.48%,,,"15,720,576,054 GMRX",100000000000.0,,0,,,,,,,584.0,2024-09-23
907,Apeiron,APRS,$0.164,0.62%,6.87%,9.30%,,,"87,630,814 APRS",1000000000.0,1000000000.0,0,,,,,,,2491.0,2024-09-23
934,iMe Lab,LIME,$0.03042,0.08%,3.38%,12.94%,,,"432,774,153 LIME",998979500.0,,0,,,,,,,681.0,2024-09-23
952,HyperGPT,HGPT,$0.02139,0.26%,7.69%,13.79%,,,"583,625,238 HGPT",997742373.0,1000000000.0,0,,,,,,,2527.0,2024-09-23
953,HotKeySwap,HOTKEY,$0.2928,1.75%,32.06%,55.42%,,,"42,625,226 HOTKEY",95000000.0,100000000.0,0,,,,,,,4280.0,2024-09-23
955,DeepBrain Chain,DBC,$0.002292,0.22%,4.37%,11.95%,,,"5,428,952,299 DBC",10000000000.0,10000000000.0,0,,,,,496.0,1016.0,861.0,2024-09-23
964,Ooki Protocol,OOKI,$0.001369,0.45%,2.17%,9.75%,,,"8,777,418,567 OOKI",9109333138.58554,10500000000.0,0,,,,,,,1052.0,2024-09-23
979,Openfabric AI,OFN,$0.1117,0.74%,33.42%,25.20%,,,"105,030,527 OFN",500000000.0,500000000.0,0,,,,,,,683.0,2024-09-23
1005,Atlas Navi,NAVI,$0.1162,1.53%,4.23%,7.34%,,,"94,675,092 NAVI",300000000.0,300000000.0,0,,,,,,,927.0,2024-09-23
1004,Three Protocol Token,THREE,$0.1294,3.27%,32.19%,34.42%,,,"85,000,000 THREE",100000000.0,,0,,,,,,,,2024-09-23
1018,GameGPT,DUEL,$0.003609,0.92%,9.05%,23.81%,,,"2,954,764,892 DUEL",9979000000.0,10000000000.0,0,,,,,,,804.0,2024-09-23
1040,Matrix AI Network,MAN,$0.02184,0.18%,5.83%,20.53%,,,"450,533,123 MAN",750576068.4037756,1000000000.0,0,,,,,430.0,1066.0,963.0,2024-09-23
1059,DexCheck AI,DCK,$0.02692,0.11%,8.47%,10.82%,,,"339,422,186 DCK",961420925.0268868,,0,,,,,,,824.0,2024-09-23
1068,Big Data Protocol,BDP,$0.1715,1.82%,2.45%,56.97%,,,"52,278,856 BDP",64923252.85185185,80000000.0,0,,,,,,,1049.0,2024-09-23
1088,Step App,FITFI,$0.003304,0.82%,2.08%,15.46%,,,"2,530,000,000 FITFI",4600000000.0,5000000000.0,0,,,,,,,868.0,2024-09-23
