id,name,symbol,slug,cmcRank,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
1,Bitcoin,BTC,bitcoin,1,11540850.0,11540850.0,21000000.0,2013-08-11T23:56:02.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 105.0, 'volume24h': 0.0, 'marketCap': 1211789250.0, 'percentChange1h': 0.112443, 'percentChange24h': 1.85005, 'percentChange7d': -0.512347, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 1, 'volume24h': 0.0, 'marketCap': 11764945.04620784, 'percentChange1h': 0, 'percentChange24h': 0, 'percentChange7d': 0, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#1,2013-04-28T00:00:00.000Z,21000000.0,11540850.0,11540850.0,,1,2013-08-11T23:56:02.000Z,2024-09-24T14:59:03Z
2,Litecoin,LTC,litecoin,2,20240430.0,20240430.0,84000000.0,2013-08-11T23:56:02.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 2.69429994, 'volume24h': 0.0, 'marketCap': 54533789.2595745, 'percentChange1h': 0.173502, 'percentChange24h': 5.04338, 'percentChange7d': -9.95393, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.02615825, 'volume24h': 0.0, 'marketCap': 529454.30387369, 'percentChange1h': 0.173502, 'percentChange24h': 5.04338, 'percentChange7d': -9.95393, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#2,2013-04-28T00:00:00.000Z,84000000.0,20240430.0,20240430.0,,2,2013-08-11T23:56:02.000Z,2024-09-24T14:59:04Z
52,XRP,XRP,xrp,3,7817889792.0,99999997952.0,100000000000.0,2013-08-11T23:56:04.000Z,2013-08-04T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00441532, 'volume24h': 0.0, 'marketCap': 34518516.09806446, 'percentChange1h': 0.122584, 'percentChange24h': 2.22634, 'percentChange7d': -25.2101, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 4.287e-05, 'volume24h': 0.0, 'marketCap': 335131.24907683, 'percentChange1h': 0.122584, 'percentChange24h': 2.22634, 'percentChange7d': -25.2101, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#52,2013-08-04T00:00:00.000Z,100000000000.0,7817889792.0,99999997952.0,,3,2013-08-11T23:56:04.000Z,2024-09-24T14:59:04Z
3,Namecoin,NMC,namecoin,4,6273643.0,6273643.0,,2013-08-11T23:56:02.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.67304999, 'volume24h': 0.0, 'marketCap': 4222475.33559293, 'percentChange1h': -0.574366, 'percentChange24h': 3.39144, 'percentChange7d': 9.03297, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00653447, 'volume24h': 0.0, 'marketCap': 40994.90920737, 'percentChange1h': -0.574366, 'percentChange24h': 3.39144, 'percentChange7d': 9.03297, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#3,2013-04-28T00:00:00.000Z,,6273643.0,6273643.0,,4,2013-08-11T23:56:02.000Z,2024-09-24T14:59:04Z
5,Peercoin,PPC,peercoin,5,19927126.0,19927126.0,,2013-08-11T23:56:03.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.15854999, 'volume24h': 0.0, 'marketCap': 3159445.71232586, 'percentChange1h': 0.263713, 'percentChange24h': 1.6139, 'percentChange7d': -0.808536, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00153932, 'volume24h': 0.0, 'marketCap': 30674.23248885, 'percentChange1h': 0.263713, 'percentChange24h': 1.6139, 'percentChange7d': -0.808536, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#5,2013-04-28T00:00:00.000Z,,19927126.0,19927126.0,,5,2013-08-11T23:56:03.000Z,2024-09-24T14:59:04Z
8,Feathercoin,FTC,feathercoin,6,13147650.0,13147650.0,336000000.0,2013-08-11T23:56:03.000Z,2013-05-03T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.15225001, 'volume24h': 0.0, 'marketCap': 2001729.80183736, 'percentChange1h': 0.147127, 'percentChange24h': 1.64059, 'percentChange7d': -6.71915, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00147816, 'volume24h': 0.0, 'marketCap': 19434.27136028, 'percentChange1h': 0.147127, 'percentChange24h': 1.64059, 'percentChange7d': -6.71915, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#8,2013-05-03T00:00:00.000Z,336000000.0,13147650.0,13147650.0,,6,2013-08-11T23:56:03.000Z,2024-09-24T14:59:04Z
6,Novacoin,NVC,novacoin,7,349764.40625,349764.40625,,2013-08-11T23:56:03.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 5.14604998, 'volume24h': 0.0, 'marketCap': 1799905.11451049, 'percentChange1h': 0.362431, 'percentChange24h': 0.44754, 'percentChange7d': -6.06244, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.04996165, 'volume24h': 0.0, 'marketCap': 17474.80823139, 'percentChange1h': 0.362431, 'percentChange24h': 0.44754, 'percentChange7d': -6.06244, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#6,2013-04-28T00:00:00.000Z,,349764.40625,349764.40625,,7,2013-08-11T23:56:03.000Z,2024-09-24T14:59:04Z
42,Primecoin,XPM,primecoin,8,1530619.125,1530619.125,,2013-08-11T23:56:14.000Z,2013-07-11T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.88315499, 'volume24h': 0.0, 'marketCap': 1351773.91541411, 'percentChange1h': 0.0766849, 'percentChange24h': 3.9163, 'percentChange7d': 34.395, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00857432, 'volume24h': 0.0, 'marketCap': 13124.01956837, 'percentChange1h': 0.0766849, 'percentChange24h': 3.9163, 'percentChange7d': 34.395, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#42,2013-07-11T00:00:00.000Z,,1530619.125,1530619.125,,8,2013-08-11T23:56:14.000Z,2024-09-24T14:59:04Z
4,Terracoin,TRC,terracoin,9,3630869.75,3630869.75,42000000.0,2013-08-11T23:56:02.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.1806, 'volume24h': 0.0, 'marketCap': 655735.08559324, 'percentChange1h': -1.02018, 'percentChange24h': -0.0659763, 'percentChange7d': 5.09566, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.0017534, 'volume24h': 0.0, 'marketCap': 6366.36052587, 'percentChange1h': -1.02018, 'percentChange24h': -0.0659763, 'percentChange7d': 5.09566, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#4,2013-04-28T00:00:00.000Z,42000000.0,3630869.75,3630869.75,,9,2013-08-11T23:56:02.000Z,2024-09-24T14:59:04Z
7,Devcoin,DVC,devcoin,10,5056869888.0,5056869888.0,,2013-08-11T23:56:03.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 5.67e-05, 'volume24h': 0.0, 'marketCap': 286724.5166941, 'percentChange1h': -0.772402, 'percentChange24h': 1.46099, 'percentChange7d': -11.0784, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 5.5e-07, 'volume24h': 0.0, 'marketCap': 2783.73337798, 'percentChange1h': -0.772402, 'percentChange24h': 1.46099, 'percentChange7d': -11.0784, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#7,2013-04-28T00:00:00.000Z,,5056869888.0,5056869888.0,,10,2013-08-11T23:56:03.000Z,2024-09-24T14:59:04Z
