id,name,symbol,slug,cmcRank,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
1,Bitcoin,BTC,bitcoin,1,15729500.0,15729500.0,21000000.0,2016-07-03T23:59:23.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 658.66357422, 'volume24h': 129511632.0, 'marketCap': 10360448690.673828, 'percentChange1h': -0.714765, 'percentChange24h': -6.09766, 'percentChange7d': 3.81395, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 1, 'volume24h': 183712.76080295, 'marketCap': 14696337.33069661, 'percentChange1h': 0, 'percentChange24h': 0, 'percentChange7d': 0, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1,2013-04-28T00:00:00.000Z,21000000.0,15729500.0,15729500.0,,1,2016-07-03T23:59:23.000Z,2024-09-24T15:29:39Z
1027,Ethereum,ETH,ethereum,2,81638196.124,81638196.124,,2016-07-03T23:59:23.000Z,2015-08-07T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 11.7202177, 'volume24h': 10588737.0, 'marketCap': 956817431.598227, 'percentChange1h': -1.01723, 'percentChange24h': -3.20847, 'percentChange7d': -15.3783, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.01662518, 'volume24h': 15020.16519787, 'marketCap': 1357249.3005362, 'percentChange1h': -1.01723, 'percentChange24h': -3.20847, 'percentChange7d': -15.3783, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1027,2015-08-07T00:00:00.000Z,,81638196.124,81638196.124,,2,2016-07-03T23:59:23.000Z,2024-09-24T15:29:39Z
52,XRP,XRP,xrp,3,35345971933.0,99997322412.0,100000000000.0,2016-07-03T23:59:28.000Z,2013-08-04T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00660746, 'volume24h': 536310.8125, 'marketCap': 233547238.82466593, 'percentChange1h': -0.227631, 'percentChange24h': -1.53238, 'percentChange7d': 3.2521, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 9.37e-06, 'volume24h': 760.75900281, 'marketCap': 331287.67941389, 'percentChange1h': -0.227631, 'percentChange24h': -1.53238, 'percentChange7d': 3.2521, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#52,2013-08-04T00:00:00.000Z,100000000000.0,35345971933.0,99997322412.0,,3,2016-07-03T23:59:28.000Z,2024-09-24T15:29:39Z
2,Litecoin,LTC,litecoin,4,46503479.2468872,46503479.2468872,84000000.0,2016-07-03T23:59:02.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 4.25329447, 'volume24h': 7659710.5, 'marketCap': 197792991.02009827, 'percentChange1h': -0.943791, 'percentChange24h': -7.70222, 'percentChange7d': 4.14865, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00603331, 'volume24h': 10865.32955516, 'marketCap': 280570.13788365, 'percentChange1h': -0.943791, 'percentChange24h': -7.70222, 'percentChange7d': 4.14865, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#2,2013-04-28T00:00:00.000Z,84000000.0,46503479.2468872,46503479.2468872,,4,2016-07-03T23:59:02.000Z,2024-09-24T15:29:39Z
1253,The DAO,DAO,the-dao,5,1153836913.0,1153836913.0,,2016-07-03T23:59:30.000Z,2016-05-16T00:00:00.000Z,,"[{'name': '2781', 'price': 0.09007826, 'volume24h': 1069507.625, 'marketCap': 103935618.01332527, 'percentChange1h': -0.866601, 'percentChange24h': -3.48765, 'percentChange7d': -17.7386, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00012778, 'volume24h': 1517.10078434, 'marketCap': 147433.08408768, 'percentChange1h': -0.866601, 'percentChange24h': -3.48765, 'percentChange7d': -17.7386, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1253,2016-05-16T00:00:00.000Z,,1153836913.0,1153836913.0,,5,2016-07-03T23:59:30.000Z,2024-09-24T15:29:39Z
873,NEM,XEM,nem,6,8999999999.0,8999999999.0,,2016-07-03T23:59:18.000Z,2015-04-01T00:00:00.000Z,,"[{'name': '2781', 'price': 0.01076844, 'volume24h': 1352364.375, 'marketCap': 96915964.95773375, 'percentChange1h': -0.887264, 'percentChange24h': 1.37195, 'percentChange7d': 59.232, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 1.528e-05, 'volume24h': 1918.33419984, 'marketCap': 137475.67854189, 'percentChange1h': -0.887264, 'percentChange24h': 1.37195, 'percentChange7d': 59.232, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#873,2015-04-01T00:00:00.000Z,,8999999999.0,8999999999.0,,6,2016-07-03T23:59:18.000Z,2024-09-24T15:29:40Z
131,Dash,DASH,dash,7,6562509.40130875,6562509.40130875,18900000.0,2016-07-03T23:59:05.000Z,2014-02-14T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 7.01169825, 'volume24h': 259776.4375, 'marketCap': 46014335.65852951, 'percentChange1h': -0.511915, 'percentChange24h': -2.14733, 'percentChange7d': 2.56664, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00994612, 'volume24h': 368.49390119, 'marketCap': 65271.51661823, 'percentChange1h': -0.511915, 'percentChange24h': -2.14733, 'percentChange7d': 2.56664, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#131,2014-02-14T00:00:00.000Z,18900000.0,6562509.40130875,6562509.40130875,,7,2016-07-03T23:59:05.000Z,2024-09-24T15:29:40Z
291,MaidSafeCoin,MAID,maidsafecoin,8,452552412.0,452552412.0,,2016-07-03T23:59:08.000Z,2014-04-28T00:00:00.000Z,,"[{'name': '2781', 'price': 0.07110384, 'volume24h': 178903.921875, 'marketCap': 32178214.7770461, 'percentChange1h': -1.18695, 'percentChange24h': -0.741488, 'percentChange7d': -5.44642, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00010086, 'volume24h': 253.7759188, 'marketCap': 45644.92457636, 'percentChange1h': -1.18695, 'percentChange24h': -0.741488, 'percentChange7d': -5.44642, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#291,2014-04-28T00:00:00.000Z,,452552412.0,452552412.0,,8,2016-07-03T23:59:08.000Z,2024-09-24T15:29:40Z
1214,Lisk,LSK,lisk,9,100000000.0,100000000.0,,2016-07-03T23:59:29.000Z,2016-04-06T00:00:00.000Z,,"[{'name': '2781', 'price': 0.30140632, 'volume24h': 407207.9375, 'marketCap': 30140632.390976, 'percentChange1h': -1.00601, 'percentChange24h': -2.70215, 'percentChange7d': -8.04691, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00042755, 'volume24h': 577.62606543, 'marketCap': 42754.60592523, 'percentChange1h': -1.00601, 'percentChange24h': -2.70215, 'percentChange7d': -8.04691, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1214,2016-04-06T00:00:00.000Z,,100000000.0,100000000.0,,9,2016-07-03T23:59:29.000Z,2024-09-24T15:29:40Z
74,Dogecoin,DOGE,dogecoin,10,105016389699.305,105016389699.305,,2016-07-03T23:59:04.000Z,2013-12-15T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00028222, 'volume24h': 472626.75, 'marketCap': 29637430.98146216, 'percentChange1h': -0.626128, 'percentChange24h': -7.34298, 'percentChange7d': -0.422359, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 4e-07, 'volume24h': 670.42290898, 'marketCap': 42040.81274114, 'percentChange1h': -0.626128, 'percentChange24h': -7.34298, 'percentChange7d': -0.422359, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#74,2013-12-15T00:00:00.000Z,,105016389699.305,105016389699.305,,10,2016-07-03T23:59:04.000Z,2024-09-24T15:29:40Z
66,Nxt,NXT,nxt,11,998999999.0,998999999.0,1000000000.0,2016-07-03T23:59:02.000Z,2013-12-04T00:00:00.000Z,,"[{'name': '2781', 'price': 0.02133974, 'volume24h': 450192.875, 'marketCap': 21318402.70300085, 'percentChange1h': -0.0847482, 'percentChange24h': -9.0958, 'percentChange7d': 20.7654, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 3.027e-05, 'volume24h': 638.60036881, 'marketCap': 30240.2383168, 'percentChange1h': -0.0847482, 'percentChange24h': -9.0958, 'percentChange7d': 20.7654, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#66,2013-12-04T00:00:00.000Z,1000000000.0,998999999.0,998999999.0,,11,2016-07-03T23:59:02.000Z,2024-09-24T15:29:40Z
328,Monero,XMR,monero,12,12310859.510902,12310859.510902,,2016-07-03T23:59:09.000Z,2014-05-21T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 1.7029829, 'volume24h': 326072.4375, 'marketCap': 20965183.26247629, 'percentChange1h': -0.294428, 'percentChange24h': -2.81062, 'percentChange7d': 15.7646, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00241569, 'volume24h': 462.53503867, 'marketCap': 29739.19514727, 'percentChange1h': -0.294428, 'percentChange24h': -2.81062, 'percentChange7d': 15.7646, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#328,2014-05-21T00:00:00.000Z,,12310859.510902,12310859.510902,,12,2016-07-03T23:59:09.000Z,2024-09-24T15:29:40Z
1229,DigixDAO,DGD,digixdao,13,2000000.0,2000000.0,,2016-07-03T23:59:29.000Z,2016-04-18T00:00:00.000Z,,"[{'name': '2781', 'price': 10.05803204, 'volume24h': 39056.640625, 'marketCap': 20116064.0716552, 'percentChange1h': -0.103024, 'percentChange24h': -0.915606, 'percentChange7d': -9.13447, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.01426736, 'volume24h': 55.40199877, 'marketCap': 28534.71622605, 'percentChange1h': -0.103024, 'percentChange24h': -0.915606, 'percentChange7d': -9.13447, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1229,2016-04-18T00:00:00.000Z,,2000000.0,2000000.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe0b7927c4af23765cb51314a0e0521a9645f0e2a'}",13,2016-07-03T23:59:29.000Z,2024-09-24T15:29:41Z
1274,Waves,WAVES,waves,14,100000000.0,100000000.0,,2016-07-03T23:59:31.000Z,2016-06-02T00:00:00.000Z,,"[{'name': '2781', 'price': 0.19279256, 'volume24h': 334446.75, 'marketCap': 19279256.4630508, 'percentChange1h': -0.277845, 'percentChange24h': 4.80472, 'percentChange7d': 13.9377, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00027348, 'volume24h': 474.41403398, 'marketCap': 27347.70133277, 'percentChange1h': -0.277845, 'percentChange24h': 4.80472, 'percentChange7d': 13.9377, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1274,2016-06-02T00:00:00.000Z,,100000000.0,100000000.0,,14,2016-07-03T23:59:31.000Z,2024-09-24T15:29:41Z
1230,Steem,STEEM,steem,15,72043260.0,89017354.0,,2016-07-03T23:59:30.000Z,2016-04-18T00:00:00.000Z,,"[{'name': '2781', 'price': 0.23556985, 'volume24h': 13492.78515625, 'marketCap': 16971219.92363783, 'percentChange1h': 0.25307, 'percentChange24h': 7.15091, 'percentChange7d': 15.1596, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00033416, 'volume24h': 19.13956896, 'marketCap': 24073.74239841, 'percentChange1h': 0.25307, 'percentChange24h': 7.15091, 'percentChange7d': 15.1596, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1230,2016-04-18T00:00:00.000Z,,72043260.0,89017354.0,,15,2016-07-03T23:59:30.000Z,2024-09-24T15:29:41Z
558,Emercoin,EMC,emercoin,16,38058736.830682,38058736.830682,,2016-07-03T23:59:13.000Z,2014-08-23T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.39549726, 'volume24h': 270957.4375, 'marketCap': 15052126.22990061, 'percentChange1h': -2.90097, 'percentChange24h': 23.0173, 'percentChange7d': 144.597, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00056101, 'volume24h': 384.35419379, 'marketCap': 21351.50042468, 'percentChange1h': -2.90097, 'percentChange24h': 23.0173, 'percentChange7d': 144.597, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#558,2014-08-23T00:00:00.000Z,,38058736.830682,38058736.830682,,16,2016-07-03T23:59:13.000Z,2024-09-24T15:29:41Z
1125,HyperSpace,AMP,synereo,17,184800000.0,1680400000.0,,2016-07-03T23:59:25.000Z,2015-12-04T00:00:00.000Z,,"[{'name': '2781', 'price': 0.07716152, 'volume24h': 6300.93066406, 'marketCap': 14259449.02896881, 'percentChange1h': -3.71251, 'percentChange24h': 6.71693, 'percentChange7d': 13.7031, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00010945, 'volume24h': 8.937895, 'marketCap': 20227.08468874, 'percentChange1h': -3.71251, 'percentChange24h': 6.71693, 'percentChange7d': 13.7031, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1125,2015-12-04T00:00:00.000Z,,184800000.0,1680400000.0,,17,2016-07-03T23:59:25.000Z,2024-09-24T15:29:41Z
1087,Factom,FCT,factom,18,8753219.0,8753219.0,,2016-07-03T23:59:24.000Z,2015-10-06T00:00:00.000Z,,"[{'name': '2781', 'price': 1.44644654, 'volume24h': 829406.0, 'marketCap': 12661063.31865636, 'percentChange1h': -0.943059, 'percentChange24h': 4.62598, 'percentChange7d': 32.5625, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00205179, 'volume24h': 1176.51568229, 'marketCap': 17959.76825442, 'percentChange1h': -0.943059, 'percentChange24h': 4.62598, 'percentChange7d': 32.5625, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1087,2015-10-06T00:00:00.000Z,,8753219.0,8753219.0,,18,2016-07-03T23:59:24.000Z,2024-09-24T15:29:41Z
1042,Siacoin,SC,siacoin,19,15830692655.0,15830692655.0,,2016-07-03T23:59:23.000Z,2015-08-26T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00078319, 'volume24h': 328870.0, 'marketCap': 12398500.30971566, 'percentChange1h': -0.518055, 'percentChange24h': -4.85505, 'percentChange7d': -22.324, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 1.11e-06, 'volume24h': 466.50339211, 'marketCap': 17587.32159065, 'percentChange1h': -0.518055, 'percentChange24h': -4.85505, 'percentChange7d': -22.324, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#1042,2015-08-26T00:00:00.000Z,,15830692655.0,15830692655.0,,19,2016-07-03T23:59:23.000Z,2024-09-24T15:29:41Z
463,BitShares,BTS,bitshares,20,2565010000.0,2565010000.0,3600570502.0,2016-07-03T23:59:11.000Z,2014-07-21T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00450623, 'volume24h': 201562.78125, 'marketCap': 11558522.33782876, 'percentChange1h': 1.48465, 'percentChange24h': -5.95318, 'percentChange7d': 17.3124, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 6.39e-06, 'volume24h': 285.91760019, 'marketCap': 16395.80952455, 'percentChange1h': 1.48465, 'percentChange24h': -5.95318, 'percentChange7d': 17.3124, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#463,2014-07-21T00:00:00.000Z,3600570502.0,2565010000.0,2565010000.0,,20,2016-07-03T23:59:11.000Z,2024-09-24T15:29:41Z
512,Stellar,XLM,stellar,21,5485679598.0,100804167793.0,,2016-07-03T23:59:11.000Z,2014-08-05T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00192795, 'volume24h': 49340.140625, 'marketCap': 10576117.00489324, 'percentChange1h': -0.630035, 'percentChange24h': -4.9593, 'percentChange7d': -4.05167, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 2.73e-06, 'volume24h': 69.98918408, 'marketCap': 15002.26368504, 'percentChange1h': -0.630035, 'percentChange24h': -4.9593, 'percentChange7d': -4.05167, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#512,2014-08-05T00:00:00.000Z,,5485679598.0,100804167793.0,,21,2016-07-03T23:59:11.000Z,2024-09-24T15:29:42Z
5,Peercoin,PPC,peercoin,22,23284793.9895654,23284793.9895654,,2016-07-03T23:59:00.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.39817226, 'volume24h': 59972.07421875, 'marketCap': 9271359.03087632, 'percentChange1h': -0.645242, 'percentChange24h': -6.00564, 'percentChange7d': 1.61561, 'lastUpdated': '2016-07-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00056481, 'volume24h': 85.07062382, 'marketCap': 13151.45935276, 'percentChange1h': -0.645242, 'percentChange24h': -6.00564, 'percentChange7d': 1.61561, 'lastUpdated': '2016-07-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20160703/#5,2013-04-28T00:00:00.000Z,,23284793.9895654,23284793.9895654,,22,2016-07-03T23:59:00.000Z,2024-09-24T15:29:42Z
