id,name,symbol,slug,cmcRank,numMarketPairs,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
1,Bitcoin,BTC,bitcoin,1,7960,18360075,18360075,21000000.0,2020-05-03T23:59:00.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 8897.46850985, 'volume24h': 47101785174.2562, 'marketCap': 163358189150.98422, 'percentChange1h': -0.201403, 'percentChange24h': -1.3503, 'percentChange7d': 15.6548, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 1, 'volume24h': 5240090.85398387, 'marketCap': 18173658.38102667, 'percentChange1h': 0, 'percentChange24h': 0, 'percentChange7d': 0, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#1,2013-04-28T00:00:00.000Z,21000000.0,18360075,18360075,,1,2020-05-03T23:59:00.000Z,2024-09-24T14:46:42Z
1027,Ethereum,ETH,ethereum,2,5110,110780012.999,110780012.999,,2020-05-03T23:59:01.000Z,2015-08-07T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 210.93315693, 'volume24h': 20469034664.1327, 'marketCap': 23367177866.625507, 'percentChange1h': -0.216047, 'percentChange24h': -2.4439, 'percentChange7d': 6.88196, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.02346639, 'volume24h': 2277187.6041765, 'marketCap': 2599607.09704146, 'percentChange1h': -0.216047, 'percentChange24h': -2.4439, 'percentChange7d': 6.88196, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#1027,2015-08-07T00:00:00.000Z,,110780012.999,110780012.999,,2,2020-05-03T23:59:01.000Z,2024-09-24T14:46:42Z
52,XRP,XRP,xrp,3,536,44112853111,99990976125,100000000000.0,2020-05-03T23:59:00.000Z,2013-08-04T00:00:00.000Z,,"[{'name': '2781', 'price': 0.21941428, 'volume24h': 2182399826.08728, 'marketCap': 9678990068.195639, 'percentChange1h': -0.32802, 'percentChange24h': -2.21048, 'percentChange7d': 11.3355, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 2.441e-05, 'volume24h': 242792.7800636, 'marketCap': 1076791.19049342, 'percentChange1h': -0.32802, 'percentChange24h': -2.21048, 'percentChange7d': 11.3355, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#52,2013-08-04T00:00:00.000Z,100000000000.0,44112853111,99990976125,,3,2020-05-03T23:59:00.000Z,2024-09-24T14:46:43Z
825,Tether,USDT,tether,4,4745,6361032509,6998318752.17,,2020-05-03T23:59:00.000Z,2015-02-25T00:00:00.000Z,,"[{'name': '2781', 'price': 1.00350799, 'volume24h': 58963072938.1348, 'marketCap': 6383346956.145862, 'percentChange1h': -0.0515651, 'percentChange24h': -0.010418, 'percentChange7d': 0.018052, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00011164, 'volume24h': 6559663.46249599, 'marketCap': 710149.68708633, 'percentChange1h': -0.0515651, 'percentChange24h': -0.010418, 'percentChange7d': 0.018052, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#825,2015-02-25T00:00:00.000Z,,6361032509,6998318752.17,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",4,2020-05-03T23:59:00.000Z,2024-09-24T14:46:43Z
1831,Bitcoin Cash,BCH,bitcoin-cash,5,470,18397412.5,18397412.5,21000000.0,2020-05-03T23:59:01.000Z,2017-07-23T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 252.54448043, 'volume24h': 3830272429.59571, 'marketCap': 4646164981.032093, 'percentChange1h': -0.124233, 'percentChange24h': -4.02483, 'percentChange7d': 2.85518, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.02809567, 'volume24h': 426119.21081838, 'marketCap': 516887.5560265, 'percentChange1h': -0.124233, 'percentChange24h': -4.02483, 'percentChange7d': 2.85518, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#1831,2017-07-23T00:00:00.000Z,21000000.0,18397412.5,18397412.5,,5,2020-05-03T23:59:01.000Z,2024-09-24T14:46:43Z
3602,Bitcoin SV,BSV,bitcoin-sv,6,181,18395852.0819233,18395852.0819233,21000000.0,2020-05-03T23:59:06.000Z,2018-11-09T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 208.61573882, 'volume24h': 2295262059.12947, 'marketCap': 3837664273.2202806, 'percentChange1h': -0.168436, 'percentChange24h': -2.86076, 'percentChange7d': 6.43308, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.02320858, 'volume24h': 255348.74483089, 'marketCap': 426941.55612924, 'percentChange1h': -0.168436, 'percentChange24h': -2.86076, 'percentChange7d': 6.43308, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#3602,2018-11-09T00:00:00.000Z,21000000.0,18395852.0819233,18395852.0819233,,6,2020-05-03T23:59:06.000Z,2024-09-24T14:46:43Z
2,Litecoin,LTC,litecoin,7,588,64650455.7265572,64650455.7265572,84000000.0,2020-05-03T23:59:00.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 48.26715747, 'volume24h': 4667453994.48351, 'marketCap': 3120493727.3002067, 'percentChange1h': 0.0189622, 'percentChange24h': -2.71531, 'percentChange7d': 7.68658, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00536974, 'volume24h': 519255.96657112, 'marketCap': 347156.07019661, 'percentChange1h': 0.0189622, 'percentChange24h': -2.71531, 'percentChange7d': 7.68658, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#2,2013-04-28T00:00:00.000Z,84000000.0,64650455.7265572,64650455.7265572,,7,2020-05-03T23:59:00.000Z,2024-09-24T14:46:43Z
1839,Binance Coin,BNB,binance-coin,8,306,155536713,187536713,187536713.0,2020-05-03T23:59:01.000Z,2017-07-25T00:00:00.000Z,,"[{'name': '2781', 'price': 17.12629926, 'volume24h': 381109060.886594, 'marketCap': 2663768292.9724836, 'percentChange1h': 0.0196522, 'percentChange24h': -2.77124, 'percentChange7d': 4.21165, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00190531, 'volume24h': 42398.52262359, 'marketCap': 296345.19832948, 'percentChange1h': 0.0196522, 'percentChange24h': -2.77124, 'percentChange7d': 4.21165, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#1839,2017-07-25T00:00:00.000Z,187536713.0,155536713,187536713,,8,2020-05-03T23:59:01.000Z,2024-09-24T14:46:43Z
1765,EOS,EOS,eos,9,368,922323057.9921,1019023069.9917,,2020-05-03T23:59:01.000Z,2017-07-01T00:00:00.000Z,,"[{'name': '2781', 'price': 2.8423157, 'volume24h': 4243384762.60448, 'marketCap': 2621533307.9354825, 'percentChange1h': 0.0139866, 'percentChange24h': -3.90006, 'percentChange7d': 3.25184, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00031621, 'volume24h': 472078.10918834, 'marketCap': 291646.54077347, 'percentChange1h': 0.0139866, 'percentChange24h': -3.90006, 'percentChange7d': 3.25184, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#1765,2017-07-01T00:00:00.000Z,,922323057.9921,1019023069.9917,,9,2020-05-03T23:59:01.000Z,2024-09-24T14:46:43Z
2011,Tezos,XTZ,tezos,10,93,709161520.52022,709161520.52022,,2020-05-03T23:59:01.000Z,2017-10-06T00:00:00.000Z,,"[{'name': '2781', 'price': 2.74128839, 'volume24h': 226856166.633206, 'marketCap': 1944016243.6310868, 'percentChange1h': -0.309219, 'percentChange24h': -3.29995, 'percentChange7d': -1.02418, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00030497, 'volume24h': 25237.83163518, 'marketCap': 216272.51919562, 'percentChange1h': -0.309219, 'percentChange24h': -3.29995, 'percentChange7d': -1.02418, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#2011,2017-10-06T00:00:00.000Z,,709161520.52022,709161520.52022,,10,2020-05-03T23:59:01.000Z,2024-09-24T14:46:43Z
