id,name,symbol,slug,cmcRank,numMarketPairs,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
1,Bitcoin,BTC,bitcoin,1,9747,18596737.0,18596737.0,21000000.0,2021-01-10T23:00:00.000Z,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels']","[{'name': '2781', 'price': 38356.43950662, 'volume24h': 79980747690.35463, 'marketCap': 713304617760.9486, 'percentChange1h': -0.548860112353, 'percentChange24h': -4.715261148526, 'percentChange7d': 17.004486854118, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 1, 'volume24h': 1976249.7217652, 'marketCap': 17625092.2014562, 'percentChange1h': 0, 'percentChange24h': 0, 'percentChange7d': 0, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#1,2013-04-28T00:00:00.000Z,21000000.0,18596737.0,18596737.0,,1,2021-01-10T23:00:00.000Z,2024-09-24T15:09:16Z
1027,Ethereum,ETH,ethereum,2,5947,114199303.624,114199303.624,,2021-01-10T23:00:00.000Z,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts']","[{'name': '2781', 'price': 1262.24666381, 'volume24h': 40616938052.61099, 'marketCap': 144147690008.65298, 'percentChange1h': -0.959166796583, 'percentChange24h': -1.469905628938, 'percentChange7d': 29.393822197197, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.03118894, 'volume24h': 1003606.67839952, 'marketCap': 3561755.05354835, 'percentChange1h': -0.959166796583, 'percentChange24h': -1.469905628938, 'percentChange7d': 29.393822197197, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#1027,2015-08-07T00:00:00.000Z,,114199303.624,114199303.624,,2,2021-01-10T23:00:00.000Z,2024-09-24T15:09:16Z
825,Tether,USDT,tether,3,9889,24224312724.63423,24781627122.352524,,2021-01-10T23:00:00.000Z,2015-02-25T00:00:00.000Z,"['store-of-value', 'payments', 'stablecoin', 'stablecoin-asset-backed']","[{'name': '2781', 'price': 1.00022348, 'volume24h': 135437984723.47015, 'marketCap': 24229726418.888645, 'percentChange1h': -0.032681634555, 'percentChange24h': -0.271527004839, 'percentChange7d': -0.029047860665, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 2.471e-05, 'volume24h': 3346546.35466074, 'marketCap': 598693.95418956, 'percentChange1h': -0.032681634555, 'percentChange24h': -0.271527004839, 'percentChange7d': -0.029047860665, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#825,2015-02-25T00:00:00.000Z,,24224312724.63423,24781627122.352524,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,2021-01-10T23:00:00.000Z,2024-09-24T15:09:17Z
52,XRP,XRP,xrp,4,684,45404028640.0,99990831162.0,100000000000.0,2021-01-10T23:00:00.000Z,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain']","[{'name': '2781', 'price': 0.31833641, 'volume24h': 9647740012.278093, 'marketCap': 14453755388.352276, 'percentChange1h': 1.035966968883, 'percentChange24h': -2.624468165312, 'percentChange7d': 40.951497227362, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 7.87e-06, 'volume24h': 238386.66260964, 'marketCap': 357138.82264867, 'percentChange1h': 1.035966968883, 'percentChange24h': -2.624468165312, 'percentChange7d': 40.951497227362, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#52,2013-08-04T00:00:00.000Z,100000000000.0,45404028640.0,99990831162.0,,4,2021-01-10T23:00:00.000Z,2024-09-24T15:09:17Z
2,Litecoin,LTC,litecoin,5,749,66245617.91134237,66245617.91134237,84000000.0,2021-01-10T23:00:00.000Z,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain']","[{'name': '2781', 'price': 171.11484357, 'volume24h': 12774461582.482088, 'marketCap': 11335608545.879465, 'percentChange1h': 0.258732181246, 'percentChange24h': -3.588545642738, 'percentChange7d': 6.819538063717, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.00422809, 'volume24h': 315645.03805114, 'marketCap': 280092.32073652, 'percentChange1h': 0.258732181246, 'percentChange24h': -3.588545642738, 'percentChange7d': 6.819538063717, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#2,2013-04-28T00:00:00.000Z,84000000.0,66245617.91134237,66245617.91134237,,5,2021-01-10T23:00:00.000Z,2024-09-24T15:09:17Z
1831,Bitcoin Cash,BCH,bitcoin-cash,6,597,18600862.5,18600862.5,21000000.0,2021-01-10T23:00:00.000Z,2017-07-23T00:00:00.000Z,"['mineable', 'marketplace', 'enterprise-solutions', 'binance-chain']","[{'name': '2781', 'price': 603.5962762, 'volume24h': 18670984543.77998, 'marketCap': 11227411339.169931, 'percentChange1h': 1.209746035426, 'percentChange24h': 5.172383908105, 'percentChange7d': 43.103550463232, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.0149143, 'volume24h': 461342.62400972, 'marketCap': 277418.86861423, 'percentChange1h': 1.209746035426, 'percentChange24h': 5.172383908105, 'percentChange7d': 43.103550463232, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#1831,2017-07-23T00:00:00.000Z,21000000.0,18600862.5,18600862.5,,6,2021-01-10T23:00:00.000Z,2024-09-24T15:09:17Z
2010,Cardano,ADA,cardano,7,224,31112484646.0,45000000000.0,45000000000.0,2021-01-10T23:00:00.000Z,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-chain']","[{'name': '2781', 'price': 0.3048953, 'volume24h': 3732911205.622683, 'marketCap': 9486050469.154648, 'percentChange1h': -0.025900055051, 'percentChange24h': -8.432379221361, 'percentChange7d': 48.732780502384, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 7.53e-06, 'volume24h': 92236.75627598, 'marketCap': 234391.46471718, 'percentChange1h': -0.025900055051, 'percentChange24h': -8.432379221361, 'percentChange7d': 48.732780502384, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#2010,2017-10-01T00:00:00.000Z,45000000000.0,31112484646.0,45000000000.0,,7,2021-01-10T23:00:00.000Z,2024-09-24T15:09:17Z
6636,Polkadot,DOT,polkadot-new,8,113,898558018.2621486,1032617235.9531187,,2021-01-10T23:00:00.000Z,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain']","[{'name': '2781', 'price': 9.30504759, 'volume24h': 1603968712.263802, 'marketCap': 8361125118.441097, 'percentChange1h': 0.841885965265, 'percentChange24h': -4.834620416614, 'percentChange7d': -7.258192215917, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.00022992, 'volume24h': 39632.57174843, 'marketCap': 206595.60789472, 'percentChange1h': 0.841885965265, 'percentChange24h': -4.834620416614, 'percentChange7d': -7.258192215917, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#6636,2020-08-19T00:00:00.000Z,,898558018.2621486,1032617235.9531187,,8,2021-01-10T23:00:00.000Z,2024-09-24T15:09:17Z
1975,Chainlink,LINK,chainlink,9,434,400509556.4344444,1000000000.0,1000000000.0,2021-01-10T23:00:00.000Z,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot']","[{'name': '2781', 'price': 16.24742979, 'volume24h': 3058197027.3741407, 'marketCap': 6507250898.169795, 'percentChange1h': -0.665408483414, 'percentChange24h': -7.724446817695, 'percentChange7d': 19.027287130571, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.00040146, 'volume24h': 75565.19786299, 'marketCap': 160788.10399162, 'percentChange1h': -0.665408483414, 'percentChange24h': -7.724446817695, 'percentChange7d': 19.027287130571, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#1975,2017-09-20T00:00:00.000Z,1000000000.0,400509556.4344444,1000000000.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",9,2021-01-10T23:00:00.000Z,2024-09-24T15:09:17Z
512,Stellar,XLM,stellar,10,337,22034677966.19647,50001803558.87172,50001806812.0,2021-01-10T23:00:00.000Z,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange', 'smart-contracts']","[{'name': '2781', 'price': 0.28874908, 'volume24h': 1949483668.0404034, 'marketCap': 6362493022.634627, 'percentChange1h': -0.216689825205, 'percentChange24h': -7.433078873965, 'percentChange7d': 111.65722927527, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 7.13e-06, 'volume24h': 48169.9242356, 'marketCap': 157211.27182249, 'percentChange1h': -0.216689825205, 'percentChange24h': -7.433078873965, 'percentChange7d': 111.65722927527, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#512,2014-08-05T00:00:00.000Z,50001806812.0,22034677966.19647,50001803558.87172,,10,2021-01-10T23:00:00.000Z,2024-09-24T15:09:17Z
