Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
17,NEAR Protocol,NEAR,$5.17,1.73%,13.25%,32.87%,"$5,851,379,335","$823,190,009
159,325,316 NEAR","1,132,512,364 NEAR"
22,Internet Computer,ICP,$8.66,0.69%,3.70%,8.80%,"$4,081,234,778","$110,144,715
12,734,250 ICP","471,226,357 ICP"
24,Artificial Superintelligence Alliance,FET,$1.62,0.01%,1.67%,28.22%,"$4,073,335,575","$327,675,519
203,106,658 FET","2,520,000,000 FET"
27,Bittensor,TAO,$526.48,0.25%,5.25%,82.96%,"$3,885,929,863","$335,896,682
638,415 TAO","7,380,936 TAO"
30,Render,RENDER,$6.02,0.71%,3.21%,27.62%,"$3,115,792,065","$495,356,599
82,267,216 RENDER","517,460,631 RENDER"
41,Injective,INJ,$22.15,0.23%,2.15%,23.78%,"$2,163,521,347","$111,220,467
5,034,618 INJ","97,697,857 INJ"
50,The Graph,GRT,$0.1711,0.13%,3.81%,23.93%,"$1,633,984,620","$85,603,870
500,244,154 GRT","9,548,531,509 GRT"
56,Theta Network,THETA,$1.37,0.23%,2.29%,6.02%,"$1,368,585,551","$28,240,470
20,676,382 THETA","1,000,000,000 THETA"
92,Akash Network,AKT,$2.80,0.37%,4.22%,17.43%,"$694,795,991","$15,519,576
5,544,231 AKT","248,285,795 AKT"
109,AIOZ Network,AIOZ,$0.4732,0.86%,1.65%,29.71%,"$531,909,102","$6,539,132
13,819,039 AIOZ","1,124,074,579 AIOZ"
113,Oasis,ROSE,$0.07196,0.48%,0.39%,22.37%,"$508,339,805","$25,254,832
350,953,201 ROSE","7,064,132,681 ROSE"
115,DeXe,DEXE,$8.76,0.01%,0.00%,18.81%,"$500,457,206","$1,327,442
151,859 DEXE","57,103,248 DEXE"
149,Echelon Prime,PRIME,$10.06,3.06%,20.74%,29.57%,"$359,884,463","$7,898,937
785,183 PRIME","35,773,841 PRIME"
159,Golem,GLM,$0.3182,0.47%,0.62%,18.68%,"$318,154,171","$15,857,013
49,840,657 GLM","1,000,000,000 GLM"
