,1751,"Seascape Crowns
CWS",$0.2239,2.20%,6.96%,9.14%,"$1,086,347","$403,402
1,801,754 CWS","4,852,052 CWS",,,,https://coinmarketcap.com/currencies/crowns/,,,,,,,,
,1756,"Crypto Unicorns
CU",$0.02277,0.08%,3.57%,7.96%,"$1,077,014","$49,900
2,191,927 CU","47,309,372 CU",,,,https://coinmarketcap.com/currencies/crypto-unicorns/,,,,,,,,
,1761,"Niftyx Protocol
SHROOM",$0.02069,0.00%,0.00%,17.35%,"$1,063,024",--,"51,386,058 SHROOM",,,,https://coinmarketcap.com/currencies/niftyx-protocol/,,,,,,,,
,1762,"FEAR
FEAR",$0.06,0.53%,14.91%,9.80%,"$1,062,840","$833,341
13,890,134 FEAR","17,715,413 FEAR",,,,https://coinmarketcap.com/currencies/fear-nfts/,,,,,,,,
,1780,"Veloce
VEXT",$0.005291,0.04%,0.07%,1.10%,"$992,904","$328,441
62,070,442 VEXT","187,643,874 VEXT",,,,https://coinmarketcap.com/currencies/veloce-vext/,,,,,,,,
,1794,"VisionGame
VISION",$0.001713,0.65%,7.58%,1.54%,"$942,284","$155,668
90,861,799 VISION","550,000,000 VISION",,,,https://coinmarketcap.com/currencies/vision-game/,,,,,,,,
,1824,"Wall Street Games
WSG",$0.003001,10.33%,26.38%,85.28%,"$826,535","$9,490
3,161,774 WSG","275,384,341 WSG",,,,https://coinmarketcap.com/currencies/wall-street-games-new/,,,,,,,,
,1826,"ChainGuardians
CGG",$0.01334,0.00%,1.01%,9.50%,"$820,378","$1,288
96,536 CGG","61,478,209 CGG",,,,https://coinmarketcap.com/currencies/chain-guardians/,,,,,,,,
,1842,"Wall Street Games (old)
WSG",$0.09878,4.12%,166.84%,22.62%,"$786,824","$1,107
1,261,041,008,406 WSG","896,134,136,474,860 WSG",,,,https://coinmarketcap.com/currencies/wall-street-games/,,,,,,,,
,1857,"Fabwelt
WELT",$0.003219,0.03%,1.57%,2.92%,"$737,214","$336,061
104,386,545 WELT","228,991,733 WELT",,,,https://coinmarketcap.com/currencies/fabwelt/,,,,,,,,
,1865,"Heroes Chained
HEC",$0.01424,0.14%,0.36%,6.46%,"$726,168","$183,490
12,886,206 HEC","50,997,439 HEC",,,,https://coinmarketcap.com/currencies/heroes-chained/,,,,,,,,
,1869,"SafeMoon Inu
SMI",$0.067165,0.00%,0.00%,14.75%,"$716,477",--,"1,000,000,000,000 SMI",,,,https://coinmarketcap.com/currencies/safemoon-inu/,,,,,,,,
,1871,"NFTb
NFTB",$0.002866,0.78%,0.67%,2.40%,"$714,976","$32,214
11,238,457 NFTB","249,435,031 NFTB",,,,https://coinmarketcap.com/currencies/nftb/,,,,,,,,
,1873,"GuildFi
GF",$0.02419,0.44%,0.75%,16.70%,"$708,849","$80
3,309 GF","29,300,718 GF",,,,https://coinmarketcap.com/currencies/guildfi/,,,,,,,,
,1886,"Rainbow Token
RBW",$0.003493,0.00%,0.00%,5.45%,"$686,791",--,"196,625,256 RBW",,,,https://coinmarketcap.com/currencies/rainbowtoken/,,,,,,,,
,1887,"Exverse
EXVG",$0.0214,9.08%,14.48%,0.02%,"$688,296","$877,185
40,979,184 EXVG","32,160,000 EXVG",,,,https://coinmarketcap.com/currencies/exverse/,,,,,,,,
,1892,"XCarnival
XCV",$0.0008356,0.19%,41.55%,49.24%,"$660,634","$590,820
692,203,883 XCV","790,640,622 XCV",,,,https://coinmarketcap.com/currencies/xcarnival/,,,,,,,,
,1917,"Sekuya Multiverse
SKYA",$0.00455,0.19%,1.48%,3.12%,"$607,554","$8,804
1,936,219 SKYA","133,514,743 SKYA",,,,https://coinmarketcap.com/currencies/sekuya-multiverse/,,,,,,,,
,1922,"Meme Alliance
MMA",$0.00682,37.96%,5.91%,37.46%,"$596,436","$98,681
14,470,033 MMA","87,457,849 MMA",,,,https://coinmarketcap.com/currencies/meme-alliance/,,,,,,,,
,1926,"Planet Mojo
MOJO",$0.01625,0.13%,0.60%,5.30%,"$593,397","$102,629
6,315,131 MOJO","36,526,787 MOJO",,,,https://coinmarketcap.com/currencies/planet-mojo/,,,,,,,,
,1940,"Binamon
BMON",$0.004874,0.19%,0.33%,10.66%,"$562,725","$1,172
240,534 BMON","115,453,949 BMON",,,,https://coinmarketcap.com/currencies/binamon/,,,,,,,,
,1941,"Captain Tsubasa
TSUGT",$0.003129,1.96%,0.29%,1.34%,"$559,734","$319,439
101,942,522 TSUGT","178,880,147 TSUGT",,,,https://coinmarketcap.com/currencies/captain-tsubasa/,,,,,,,,
,1955,"Unix Gaming
UNIX",$0.001415,0.00%,2.18%,18.24%,"$544,422","$453
320,345 UNIX","384,723,122 UNIX",,,,https://coinmarketcap.com/currencies/unix-gaming/,,,,,,,,
,1962,"OneRare Foodverse
ORARE",$0.01069,0.00%,3.62%,3.67%,"$540,188","$748
70,045 ORARE","50,553,711 ORARE",,,,https://coinmarketcap.com/currencies/onerare/,,,,,,,,
,1971,"Icon.X World
ICNX",$0.0425,1.33%,17.38%,18.79%,"$530,707","$275,698
6,481,104 ICNX","12,487,785 ICNX",,,,https://coinmarketcap.com/currencies/icon-x-world/,,,,,,,,
,1973,"Arcade
ARC",$0.03192,0.01%,4.39%,8.89%,"$529,546","$8,125
254,565 ARC","16,591,766 ARC",,,,https://coinmarketcap.com/currencies/arcade-2-earn/,,,,,,,,
,1998,"Castle of Blackwater
COBE",$0.06562,0.18%,2.25%,19.89%,"$490,551","$1,520
23,162 COBE","7,475,175 COBE",,,,https://coinmarketcap.com/currencies/castle-of-blackwater/,,,,,,,,
,2001,"Kingdomverse
KING",$0.0005989,0.65%,11.06%,29.00%,"$484,348","$56,755
94,861,925 KING","808,757,000 KING",,,,https://coinmarketcap.com/currencies/kingdomverse/,,,,,,,,
,2002,"Blockchain Monster Hunt
BCMC",$0.001971,0.00%,4.81%,7.44%,"$479,787","$10,697
5,427,923 BCMC","243,463,792 BCMC",,,,https://coinmarketcap.com/currencies/blockchain-monster-hunt/,,,,,,,,
,2002,"Blockchain Monster Hunt
BCMC",$0.001971,0.00%,4.81%,7.44%,"$479,787","$10,697
5,427,923 BCMC","243,463,792 BCMC",,,,https://coinmarketcap.com/currencies/blockchain-monster-hunt/,,,,,,,,
,2013,"Elemon
ELMON",$0.0007174,0.00%,1.61%,7.19%,"$462,673","$7,474
10,418,124 ELMON","644,908,310 ELMON",,,,https://coinmarketcap.com/currencies/elemon/,,,,,,,,
,2014,"Eldarune
ELDA",$0.00279,0.84%,1.61%,0.29%,"$462,192","$256,740
92,027,238 ELDA","165,670,707 ELDA",,,,https://coinmarketcap.com/currencies/eldarune/,,,,,,,,
,2021,"STARSHIP
STARSHIP",$0.02409,0.00%,0.25%,8.07%,"$455,511","$667
27,670 STARSHIP","18,908,258 STARSHIP",,,,https://coinmarketcap.com/currencies/starship/,,,,,,,,
,2042,"Dreams Quest
DREAMS",$0.0002651,2.28%,8.09%,14.90%,"$414,692","$92,869
350,244,921 DREAMS","1,564,101,228 DREAMS",,,,https://coinmarketcap.com/currencies/dreams-quest/,,,,,,,,
,2046,"Protocol Monsters
PMON",$0.1198,0.02%,3.30%,27.27%,"$408,675","$4,927
41,113 PMON","3,410,185 PMON",,,,https://coinmarketcap.com/currencies/polkamon/,,,,,,,,
,2057,"Revolve Games
RPG",$0.005064,0.01%,0.65%,21.16%,"$390,744","$879
173,677 RPG","77,166,470 RPG",,,,https://coinmarketcap.com/currencies/revolve-games/,,,,,,,,
,2061,"Token IN
TIN",$0.02464,0.31%,3.40%,40.78%,"$384,086","$23,539
955,232 TIN","15,586,397 TIN",,,,https://coinmarketcap.com/currencies/token-in/,,,,,,,,
,2082,"Kaby Arena
KABY",$0.0003701,0.13%,1.98%,2.03%,"$338,386","$171
460,771 KABY","914,277,084 KABY",,,,https://coinmarketcap.com/currencies/kaby-arena/,,,,,,,,
,2085,"Mars Battle
SHOOT",$0.003612,0.15%,3.28%,12.70%,"$331,360","$403,762
111,776,305 SHOOT","91,733,593 SHOOT",,,,https://coinmarketcap.com/currencies/mars-battle/,,,,,,,,
,2099,"Legends of Elysium
LOE",$0.02274,0.49%,1.15%,5.20%,"$312,966","$184,952
8,119,378 LOE","13,763,427 LOE",,,,https://coinmarketcap.com/currencies/legends-of-elysium/,,,,,,,,
,2100,"Playermon
PYM",$0.0007302,0.10%,9.40%,8.02%,"$311,866","$9,977
13,671,665 PYM","427,072,302 PYM",,,,https://coinmarketcap.com/currencies/playermon/,,,,,,,,
,2117,"Artisse
CATHEON",$0.0003001,3.43%,0.66%,1.47%,"$290,645","$4,067
13,553,093 CATHEON","968,534,281 CATHEON",,,,https://coinmarketcap.com/currencies/catheon-gaming/,,,,,,,,
,2134,"Magical Blocks
MBLK",$0.002314,0.00%,9.59%,19.82%,"$267,852","$36
15,569 MBLK","115,766,919 MBLK",,,,https://coinmarketcap.com/currencies/magical-blocks/,,,,,,,,
,2138,"BullBear AI
AIBB",$0.091288,1.30%,1.48%,12.87%,"$263,564","$4,870
37,806,108,562,425 AIBB","2,045,833,899,998,990 AIBB",,,,https://coinmarketcap.com/currencies/bullbear-ai/,,,,,,,,
,2162,"Monsterra (MSTR)
MSTR",$0.0123,0.16%,2.10%,18.28%,"$242,358","$156,822
12,794,545 MSTR","19,708,056 MSTR",,,,https://coinmarketcap.com/currencies/monsterra/,,,,,,,,
,2167,"Kryptomon
KMON",$0.001249,0.01%,1.07%,2.34%,"$237,129","$136,681
109,408,289 KMON","189,843,488 KMON",,,,https://coinmarketcap.com/currencies/kryptomon/,,,,,,,,
,2168,"SHILL Token
SHILL",$0.0006641,0.03%,6.87%,4.99%,"$237,148","$20,163
30,360,646 SHILL","357,073,944 SHILL",,,,https://coinmarketcap.com/currencies/project-seed/,,,,,,,,
,2174,"MetaFighter
MF",$0.000375,0.18%,10.12%,11.24%,"$230,247","$75,152
200,417,949 MF","614,033,258 MF",,,,https://coinmarketcap.com/currencies/metafighter/,,,,,,,,
,2180,"The QWAN
QWAN",$0.00522,0.01%,0.00%,12.73%,"$227,252",--,"43,533,333 QWAN",,,,https://coinmarketcap.com/currencies/the-qwan/,,,,,,,,
,2181,"Forest Knight
KNIGHT",$0.01104,0.00%,1.35%,11.19%,"$226,107","$293
26,585 KNIGHT","20,489,616 KNIGHT",,,,https://coinmarketcap.com/currencies/forest-knight/,,,,,,,,
,2192,"RealFevr
FEVR",$0.00002015,2.51%,23.08%,24.84%,"$217,154","$3,630
180,172,521 FEVR","10,779,065,385 FEVR",,,,https://coinmarketcap.com/currencies/realfevr/,,,,,,,,
,2193,"CryptoBlades
SKILL",$0.2472,0.00%,2.25%,10.45%,"$217,107","$4,320
17,475 SKILL","878,332 SKILL",,,,https://coinmarketcap.com/currencies/cryptoblades/,,,,,,,,
,2195,"Ninneko
NINO",$0.003298,0.00%,8.77%,6.81%,"$214,036","$7,928
2,404,143 NINO","64,904,273 NINO",,,,https://coinmarketcap.com/currencies/ninneko/,,,,,,,,
,2207,"Chain of Legends
CLEG",$0.001536,0.00%,0.85%,1.05%,"$204,319","$5,074
3,303,850 CLEG","133,051,427 CLEG",,,,https://coinmarketcap.com/currencies/chain-of-legends/,,,,,,,,
,2211,"Wizardia
WZRD",$0.001589,0.18%,1.88%,0.05%,"$201,647","$33,122
20,845,653 WZRD","126,909,977 WZRD",,,,https://coinmarketcap.com/currencies/wizardia/,,,,,,,,
,2214,"Mist
MIST",$0.003486,0.51%,6.49%,4.74%,"$196,487","$63,083
18,093,637 MIST","56,357,088 MIST",,,,https://coinmarketcap.com/currencies/mist/,,,,,,,,
,2228,"DOSE
DOSE",$0.0002199,6.10%,13.56%,107.65%,"$187,756","$1,753,138
7,972,091,431 DOSE","853,702,151 DOSE",,,,https://coinmarketcap.com/currencies/dose/,,,,,,,,
,2230,"Nemesis Downfall
ND",$0.00002687,0.02%,6.79%,21.43%,"$187,344","$2,627
97,763,380 ND","6,972,194,283 ND",,,,https://coinmarketcap.com/currencies/nemesis-downfall/,,,,,,,,
,2233,"Binemon
BIN",$0.0004457,0.01%,2.06%,7.42%,"$185,758","$10,955
24,578,451 BIN","416,778,746 BIN",,,,https://coinmarketcap.com/currencies/binemon/,,,,,,,,
,2238,"Mars Token
MRST",$0.000502,0.81%,0.80%,30.87%,"$179,305","$563,042
1,121,582,051 MRST","357,176,725 MRST",,,,https://coinmarketcap.com/currencies/mars-token/,,,,,,,,
,2254,"POLKER
PKR",$0.0008433,0.00%,9.50%,7.88%,"$163,294","$2,722
pkr 3,227,344","193,639,424 PKR",,,,https://coinmarketcap.com/currencies/polker/,,,,,,,,
,2260,"FaraLand
FARA",$0.00703,0.03%,0.01%,8.30%,"$161,191","$3,863
549,555 FARA","22,928,676 FARA",,,,https://coinmarketcap.com/currencies/faraland/,,,,,,,,
,2261,"CryptoTycoon
CTT",$0.2107,0.15%,0.94%,12.34%,"$160,631","$7,157
33,964 CTT","762,442 CTT",,,,https://coinmarketcap.com/currencies/cryptotycoon/,,,,,,,,
,2276,"HEROcoin
PLAY",$0.0008356,0.00%,0.01%,18.02%,"$147,929",--,"177,023,648 PLAY",,,,https://coinmarketcap.com/currencies/herocoin/,,,,,,,,
,2278,"ASPO World
ASPO",$0.001836,0.14%,0.08%,0.51%,"$146,751","$192
104,361 ASPO","79,936,866 ASPO",,,,https://coinmarketcap.com/currencies/aspo-world/,,,,,,,,
,2282,"Dawn Protocol
DAWN",$0.00194,0.10%,1.30%,6.66%,"$144,432","$37
19,298 DAWN","74,464,266 DAWN",,,,https://coinmarketcap.com/currencies/dawn-protocol/,,,,,,,,
,2287,"Refereum
RFR",$0.00002875,0.45%,16.52%,72.66%,"$143,726","$800
27,822,403 RFR","4,999,180,100 RFR",,,,https://coinmarketcap.com/currencies/refereum/,,,,,,,,
,2295,"My Master War
MAT",$0.00194,0.00%,14.18%,0.37%,"$139,711","$244
125,630 MAT","72,010,374 MAT",,,,https://coinmarketcap.com/currencies/my-master-war/,,,,,,,,
,2333,"Defina Finance
FINA",$0.001628,0.00%,0.61%,0.77%,"$110,421","$4,496
2,761,604 FINA","67,819,855 FINA",,,,https://coinmarketcap.com/currencies/defina-finance/,,,,,,,,
,2359,"Mochi Market
MOMA",$0.00252,0.00%,3.08%,14.89%,"$99,075","$2,361
936,835 MOMA","39,311,982 MOMA",,,,https://coinmarketcap.com/currencies/mochi-market/,,,,,,,,
,2367,"Carbon
CARBON",$0.002706,1.64%,2.51%,30.29%,"$95,217","$340
125,613 CARBON","35,188,718 CARBON",,,,https://coinmarketcap.com/currencies/carbon/,,,,,,,,
,2369,"The Crypto Prophecies
TCP",$0.0008014,5.07%,5.65%,1.97%,"$93,595","$56,595
70,606,469 TCP","116,782,511 TCP",,,,https://coinmarketcap.com/currencies/the-crypto-prophecies/,,,,,,,,
,2370,"Elpis Battle
EBA",$0.004172,0.00%,1.11%,6.90%,"$92,507","$169
40,533 EBA","22,172,718 EBA",,,,https://coinmarketcap.com/currencies/elpis-battle/,,,,,,,,
,2376,"The HUSL
HUSL",$0.008719,0.16%,2.77%,6.71%,"$90,498","$463
53,066 HUSL","10,379,879 HUSL",,,,https://coinmarketcap.com/currencies/the-husl/,,,,,,,,
,2388,"PolkaWar
PWAR",$0.001049,2.57%,0.23%,1.61%,"$86,898","$4,150
3,955,978 PWAR","82,822,168 PWAR",,,,https://coinmarketcap.com/currencies/polkawar/,,,,,,,,
,2390,"Refinable
FINE",$0.002084,0.00%,4.39%,0.02%,"$85,564","$1,298
622,662 FINE","41,059,833 FINE",,,,https://coinmarketcap.com/currencies/refinable/,,,,,,,,
,2397,"GameCredits
GAME",$0.0004199,0.00%,0.87%,28.73%,"$81,390","$2
4,810 GAME","193,822,084 GAME",,,,https://coinmarketcap.com/currencies/gamecredits/,,,,,,,,
,2399,"Gunstar Metaverse
GSTS",$0.002579,0.27%,0.67%,11.87%,"$80,706","$36,348
14,092,288 GSTS","31,290,286 GSTS",,,,https://coinmarketcap.com/currencies/gunstar-metaverse/,,,,,,,,
,2423,"ROCKI
ROCKI",$0.008196,0.75%,7.33%,2.04%,"$66,038","$5,515
672,872 ROCKI","8,057,237 ROCKI",,,,https://coinmarketcap.com/currencies/rocki/,,,,,,,,
