A,Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply,B,URL
,17,NEAR Protocol,NEAR,$5.34,0.85%,3.41%,27.49%,"$6,044,034,058","$554,477,099
103,604,378 NEAR","1,132,588,369 NEAR",,https://coinmarketcap.com/currencies/near-protocol/
,22,Internet Computer,ICP,$9.32,0.76%,7.75%,17.96%,"$4,393,299,715","$137,745,578
14,733,240 ICP","471,229,997 ICP",,https://coinmarketcap.com/currencies/internet-computer/
,23,Artificial Superintelligence Alliance,FET,$1.72,0.31%,4.79%,26.24%,"$4,334,945,790","$289,934,145
168,577,072 FET","2,520,000,000 FET",,https://coinmarketcap.com/currencies/artificial-superintelligence-alliance/
,25,Bittensor,TAO,$556.37,0.02%,1.64%,70.67%,"$4,106,511,935","$259,607,253
465,568 TAO","7,380,936 TAO",,https://coinmarketcap.com/currencies/bittensor/
,29,Render,RENDER,$6.21,0.35%,0.56%,29.78%,"$3,214,055,741","$306,144,911
49,311,016 RENDER","517,690,631 RENDER",,https://coinmarketcap.com/currencies/render/
,42,Injective,INJ,$22.07,0.07%,0.74%,13.04%,"$2,155,937,121","$108,573,410
4,909,495 INJ","97,697,857 INJ",,https://coinmarketcap.com/currencies/injective/
,50,The Graph,GRT,$0.1844,0.07%,6.82%,29.79%,"$1,760,331,079","$73,766,356
400,129,487 GRT","9,548,531,509 GRT",,https://coinmarketcap.com/currencies/the-graph/
,55,Theta Network,THETA,$1.40,0.11%,0.48%,8.05%,"$1,396,783,584","$24,278,775
17,339,803 THETA","1,000,000,000 THETA",,https://coinmarketcap.com/currencies/theta-network/
,93,Akash Network,AKT,$2.85,0.41%,1.75%,16.39%,"$708,642,759","$10,051,038
3,517,751 AKT","248,285,795 AKT",,https://coinmarketcap.com/currencies/akash-network/
,109,AIOZ Network,AIOZ,$0.4944,0.34%,3.50%,32.00%,"$555,782,441","$5,311,485
10,745,024 AIOZ","1,124,251,219 AIOZ",,https://coinmarketcap.com/currencies/aioz-network/
,112,Oasis,ROSE,$0.07593,0.48%,3.78%,25.20%,"$536,383,950","$32,744,031
431,236,211 ROSE","7,064,132,681 ROSE",,https://coinmarketcap.com/currencies/oasis-network/
,115,DeXe,DEXE,$8.91,0.41%,0.51%,16.96%,"$508,584,835","$1,181,862
132,807 DEXE","57,103,248 DEXE",,https://coinmarketcap.com/currencies/dexe/
,144,Echelon Prime,PRIME,$11.05,0.61%,19.87%,32.55%,"$395,204,619","$13,040,213
1,180,397 PRIME","35,773,841 PRIME",,https://coinmarketcap.com/currencies/echelon-prime/
,158,Arkham,ARKM,$1.51,1.80%,3.25%,48.48%,"$339,589,575","$105,228,513
69,751,665 ARKM","225,100,000 ARKM",,https://coinmarketcap.com/currencies/arkham/
,162,Golem,GLM,$0.3225,0.43%,0.27%,17.74%,"$322,506,232","$12,332,091
38,238,302 GLM","1,000,000,000 GLM",,https://coinmarketcap.com/currencies/golem-network-tokens/
,186,io.net,IO,$2.16,0.30%,0.11%,9.04%,"$260,018,541","$59,061,869
27,274,561 IO","120,286,834 IO",,https://coinmarketcap.com/currencies/io-net/
,189,OriginTrail,TRAC,$0.6012,0.06%,2.09%,14.36%,"$247,963,050","$2,434,201
4,042,852 TRAC","412,463,783 TRAC",,https://coinmarketcap.com/currencies/origintrail/
,210,Turbo,TURBO,$0.006397,0.96%,2.96%,18.64%,"$412,542,698","$93,597,205
14,752,876,419 TURBO","64,490,000,000 TURBO",,https://coinmarketcap.com/currencies/turbo/
,221,Aethir,ATH,$0.06517,0.01%,1.23%,16.37%,"$264,383,504","$47,189,972
724,159,347 ATH","4,056,713,543 ATH",,https://coinmarketcap.com/currencies/aethir/
,225,Qubic,QUBIC,$0.052139,2.35%,8.45%,15.36%,"$240,770,778","$3,004,404
1,412,910,092,678 QUBIC","112,546,976,413,437 QUBIC",,https://coinmarketcap.com/currencies/qubic/
,226,Flux,FLUX,$0.6352,0.76%,0.81%,7.20%,"$224,553,126","$8,354,348
13,135,583 FLUX","353,495,809 FLUX",,https://coinmarketcap.com/currencies/zel/
,229,PAAL AI,PAAL,$0.2712,2.00%,3.63%,64.24%,"$222,294,947","$4,947,831
18,294,260 PAAL","819,528,083 PAAL",,https://coinmarketcap.com/currencies/paal-ai/
,240,Destra Network,DSYNC,$0.2076,1.24%,2.25%,21.44%,"$200,880,651","$1,019,404
4,907,944 DSYNC","967,506,441 DSYNC",,https://coinmarketcap.com/currencies/destra-network/
,249,Kadena,KDA,$0.6453,0.45%,1.30%,23.93%,"$187,042,080","$14,140,602
21,904,100 KDA","289,856,245 KDA",,https://coinmarketcap.com/currencies/kadena/
,251,Delysium,AGI,$0.1965,1.96%,18.04%,64.39%,"$183,625,630","$37,179,801
189,303,991 AGI","934,405,289 AGI",,https://coinmarketcap.com/currencies/delysium/
,254,Arcblock,ABT,$1.83,1.21%,1.06%,12.25%,"$180,040,240","$676,215
369,062 ABT","98,554,305 ABT",,https://coinmarketcap.com/currencies/arcblock/
,257,0x0.ai,0x0,$0.2039,0.33%,0.66%,60.88%,"$177,069,648","$651,850
3,188,697 0X0","868,563,455 0x0",,https://coinmarketcap.com/currencies/0x0-ai-ai-smart-contract/
,270,Zignaly,ZIG,$0.1161,0.27%,3.60%,20.64%,"$166,454,897","$15,361,636
131,695,061 ZIG","1,433,308,739 ZIG",,https://coinmarketcap.com/currencies/zigcoin/
,284,Casper,CSPR,$0.01182,0.45%,1.03%,5.27%,"$145,710,280","$5,593,069
472,143,586 CSPR","12,324,328,057 CSPR",,https://coinmarketcap.com/currencies/casper/
,288,RSS3,RSS3,$0.1472,2.44%,0.01%,27.80%,"$145,344,918","$9,864,671
68,114,969 RSS3","987,525,011 RSS3",,https://coinmarketcap.com/currencies/rss3/
,294,Ozone Chain,OZO,$0.2384,0.38%,0.74%,0.33%,"$136,711,923","$267,551
1,117,943 OZO","573,491,638 OZO",,https://coinmarketcap.com/currencies/ozone-chain/
,313,iExec RLC,RLC,$1.70,0.19%,1.71%,17.93%,"$123,111,224","$5,081,384
2,980,437 RLC","72,382,548 RLC",,https://coinmarketcap.com/currencies/rlc/
,314,IQ,IQ,$0.006828,1.61%,2.50%,41.38%,"$129,136,113","$135,685,835
20,819,639,245 IQ","18,912,501,356 IQ",,https://coinmarketcap.com/currencies/iq/
